line,src_span_toks,tgt_span_toks,src_span_start,src_span_end,tgt_span_start,tgt_span_end
118,"['over', 'an', 'hour']","['一', '个', '多', '小', '时']",5,7,2,6
118,"['Wang', 'Jin', '-', 'pyng']","['王', '金', '平']",9,12,12,14
118,['KMT'],"['国', '民', '党']",22,22,20,22
119,"['Lien', 'Chan']","['连', '战']",6,7,6,7
121,"['Across', 'China']","['走', '遍', '中', '国', '特', '别', '节', '目']",10,11,4,11
122,"['the', 'Monument', 'to', 'the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",6,12,0,3
122,"['Taihang', 'Mountain']","['太', '行', '山']",3,4,12,14
123,"['the', 'Great', 'Wall']","['长', '城']",20,22,19,20
124,['three'],,4,4,-1,-1
124,['two'],,9,9,-1,-1
125,"['Shanxi', 'Province']","['山', '西', '省']",8,9,3,5
125,"['Zhuanbi', 'Village', ',', 'Wuxiang', 'County']","['武', '乡', '县']",2,6,6,8
125,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",12,15,16,18
126,['European'],"['欧', '洲']",4,4,6,7
127,['1940'],"['一', '九', '四', '零', '年']",1,1,0,4
127,['German'],"['德', '军']",4,4,6,7
127,['Czechoslovakia'],"['捷', '克']",9,9,10,11
127,['Poland'],"['波', '兰']",11,11,13,14
127,['Netherlands'],"['荷', '兰']",14,14,16,17
127,['Belgium'],"['比', '利', '时']",16,16,19,21
127,['France'],"['法', '国']",19,19,23,24
128,['Japanese'],"['日', '军']",4,4,0,1
128,['May'],"['五', '月', '份', '儿']",1,1,3,6
129,['China'],"['中', '国']",10,10,12,13
129,['Yichang'],"['宜', '昌']",12,12,22,23
129,['one'],,1,1,-1,-1
130,['Yichang'],"['宜', '昌']",7,7,6,7
130,['Chongqing'],"['重', '庆']",13,13,19,20
131,['Chongqing'],"['重', '庆']",4,4,4,5
132,['Chongqing'],"['重', '庆']",13,13,3,4
133,"['Hong', 'Kong']","['香', '港']",27,28,35,36
133,['KMT'],"['国', '民', '政', '府']",32,32,45,48
135,"['Eighth', 'Route', 'Army']","['八', '路', '军', '游', '击', '队']",1,3,0,5
135,"['North', 'China']","['华', '北']",19,20,11,12
135,['Japanese'],"['日', '军']",16,16,16,17
136,"['December', '1939']","['一', '九', '三', '九', '年', '十', '二', '月']",1,2,0,7
136,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",17,20,9,11
136,"['Zhu', 'De']","['朱', '德']",9,10,15,16
136,"['Peng', 'Dehuai']","['彭', '德', '怀']",14,15,22,24
136,"['the', 'Jizhong', 'Military', 'District']","['冀', '中']",32,35,30,31
136,"['Lu', 'Zhengcao']","['吕', '正', '操']",29,30,37,39
137,['Japanese'],"['日', '军']",5,5,4,5
137,['Jizhong'],"['冀', '中']",19,19,24,25
137,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",38,41,48,50
138,['1940'],"['四', '零', '年']",6,6,0,2
138,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",1,4,5,8
138,['China'],"['中', '国']",27,27,12,13
139,['Japan'],"['日', '本']",22,22,8,9
142,"['the', 'Chinese', 'Communist', 'Party']","['中', '国', '共', '产', '党']",19,22,22,26
142,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",13,16,31,33
142,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",34,37,53,56
143,['Japanese'],"['日', '军']",4,4,0,1
143,"['Eighth', 'Route', 'Army']","['八', '路', '军']",16,18,8,10
143,"['Zhu', 'De']","['朱', '德']",10,11,13,14
143,"['Peng', 'Dehuai']","['彭', '德', '怀']",13,14,16,18
146,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",2,5,2,5
146,['three'],,9,9,-1,-1
147,"['August', '20']","['八', '月', '二', '十', '号']",2,3,1,5
147,"['August', '20', 'to', 'September', '10']","['八', '月', '二', '十', '号']",6,10,9,13
147,"['the', 'Zhengtai', 'Railway']",,21,23,-1,-1
148,"['the', 'Niangziguan', 'Pass']","['娘', '子', '关']",5,7,11,13
148,['Japanese'],"['日', '军']",26,26,15,16
148,"['North', 'China']","['华', '北']",29,30,18,19
148,['Yangquan'],"['阳', '泉']",23,23,27,28
148,['Jingjing'],"['井', '陉']",15,15,30,31
149,['Taiyuan'],"['太', '原']",2,2,1,2
149,['Shijiazhuang'],"['石', '家', '庄']",4,4,4,6
149,['Japanese'],"['日', '军']",7,7,9,10
149,['4th'],"['第', '四']",11,11,12,13
149,['8th'],"['第', '八']",13,13,15,16
149,['93rd'],"['第', '九']",16,16,18,19
149,['50'],"['五', '十']",26,26,35,36
150,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",8,11,4,6
152,"['a', 'night', 'in', 'late', 'July', '1940']","['一', '九', '四', '零', '年', '七', '月', '下', '旬', '的', '一', '个', '夜', '晚']",1,6,0,13
152,['Shaanxi'],"['陕', '西', '砖', '壁', '村']",14,14,15,19
152,"['Xiao', 'Jianghe']","['肖', '江', '河']",19,20,30,32
152,"['Zhuanbi', 'Village']",,11,12,-1,-1
159,"['10:00', 'p.m.', 'on', 'August', '20', ',', '1940']","['一', '九', '四', '零', '年', '八', '月', '二', '十', '日', '晚', '上', '十', '点']",1,7,0,13
159,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",12,15,15,17
160,"['Nie', 'Rongzhen']","['聂', '荣', '臻']",2,3,0,2
160,"['the', 'Shanxi', '-', 'Chahar', '-', 'Hebei', 'Military', 'District']","['晋', '察', '冀', '军', '区']",5,12,4,8
160,"['the', 'Zhengtai', 'Railway']","['正', '太', '路']",33,35,21,23
160,['fifteen'],"['十', '五']",25,25,26,27
160,['Japanese'],"['日', '军']",41,41,42,43
161,"['the', 'night', 'of', 'August', '20']","['八', '月', '二', '十', '日', '夜', '里']",4,8,3,9
161,"['the', '129th', 'Division']","['第', '幺', '二', '九']",10,12,11,14
161,"['Liu', 'Bocheng']","['刘', '伯', '承']",17,18,19,21
161,"['Deng', 'Xiaoping']","['邓', '小', '平']",22,23,27,29
161,['eight'],['八'],26,26,35,35
161,"['the', '1st', 'Dare', '-', 'to', '-', 'Die', 'Corps']","['第', '一']",33,40,44,45
161,['two'],['两'],30,30,48,48
161,['eight'],['八'],42,42,52,52
161,['Division'],,15,15,-1,-1
162,"['the', 'night', 'of', 'August', '20']","['八', '月', '二', '十', '日', '夜']",1,5,1,6
162,"['the', 'Zhengtai', 'Railway']","['正', '太', '铁', '路']",32,34,9,12
162,['Japanese'],"['日', '军', '独', '立', '混', '成', '第', '四', '旅', '大', '部']",14,14,15,25
162,['4th'],,16,16,-1,-1
162,['9th'],,24,24,-1,-1
163,['Pingding'],"['平', '定']",14,14,7,8
163,['Liaoxian'],"['辽', '县']",16,16,10,11
163,['Yushe'],"['榆', '社']",19,19,13,14
163,['Pingliao'],"['平', '辽', '，', '榆', '辽', '公', '路']",26,26,24,30
163,['two'],,2,2,-1,-1
163,['Yuliao'],,28,28,-1,-1
164,"['less', 'than', 'four', 'hours']","['四', '个', '小', '时']",11,14,7,10
164,"['three', 'hours']","['三', '个', '多', '小', '时']",16,17,12,16
165,['four'],['四'],7,7,12,12
166,"['this', 'night']","['这', '个', '夜', '里']",4,5,3,6
166,"['the', '120th', 'Division']","['第', '幺', '二', '零']",7,9,8,11
166,"['He', 'Long']","['贺', '龙']",15,16,16,17
166,"['Guan', 'Xiangying']","['关', '向', '应']",20,21,23,25
166,['20'],"['二', '十']",24,24,31,32
166,"['the', 'Tongpu', 'Railway']","['同', '蒲', '铁', '路']",32,34,40,43
166,['Yangfangkou'],"['阳', '方', '口']",50,50,61,63
166,['Kangjiahui'],"['康', '家', '会']",52,52,65,67
166,"['Fengrui', 'Village']","['丰', '润', '村']",55,56,69,71
166,"['the', 'Tongpu', 'railway']","['同', '蒲', '铁', '路']",64,66,79,82
166,['Xinxian'],"['忻', '县']",71,71,86,87
166,['Jingle'],"['静', '乐']",73,73,89,90
166,['Fenyang'],"['汾', '阳', '公', '路']",75,75,92,95
167,"['the', 'Zhengtai', 'Railway']","['正', '太', '铁', '路']",8,10,3,6
167,"['the', 'Tongpu', 'Railway']","['同', '蒲', '铁', '路']",16,18,8,11
167,"['the', '129th', 'Division']","['第', '幺', '二', '九']",20,22,19,22
167,"['the', 'Shanxi', '-', 'Chahar', '-', 'Hebei', 'Military', 'District']","['晋', '察', '冀', '军', '区']",24,31,25,29
167,['50'],"['五', '十', '多']",40,40,38,40
167,['Yang'],['阳'],42,42,49,49
167,['Lishi'],"['离', '石']",44,44,51,52
167,['Pinghan'],"['平', '汉']",58,58,65,66
167,['Pingsui'],"['平', '绥']",60,60,68,69
167,['Beining'],"['北', '宁']",62,62,71,72
167,['Baijin'],"['白', '晋']",64,64,74,75
167,['Jinpu'],"['津', '浦']",66,66,77,78
167,['Deshi'],"['德', '石']",69,69,80,81
167,['Japanese'],"['日', '军']",88,88,96,97
168,"['the', 'afternoon', 'of', 'August', '22']","['八', '月', '二', '十', '二', '日', '午', '后']",1,5,0,7
168,"['Peng', 'Dehuai']","['彭', '德', '怀']",7,8,9,11
168,"['Eighth', 'Route', 'Army']","['八', '路', '军', '总', '部', '作', '战', '室']",21,23,13,20
169,"['more', 'than', '200,000']","['二', '十', '多', '万']",7,9,2,5
170,"['no', 'less', 'than', '400,000']","['四', '十', '万']",7,10,31,33
171,"['600,000', '-', 'plus']","['六', '十', '万']",5,7,15,17
173,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",17,20,16,18
176,"['seven', 'days', 'and', 'nights']",,2,5,-1,-1
180,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",14,17,17,19
181,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军', '各', '部', '队']",4,7,3,8
190,['Zhengtai'],"['郑', '太', '路']",2,2,3,5
190,['Zhengding'],"['正', '定']",9,9,10,11
190,['Shijiazhuang'],"['石', '家', '庄']",14,14,15,17
190,['Taiyuan'],"['太', '原']",17,17,20,21
190,"['more', 'than', '400,000']",,19,21,-1,-1
191,['Zhengtai'],"['郑', '太', '路']",7,7,11,13
191,['Jinxi'],"['金', '溪', '煤', '矿']",14,14,20,23
193,"['three', 'to', 'four', 'thousand']",,2,5,-1,-1
193,['one'],,12,12,-1,-1
193,['16'],,20,20,-1,-1
197,"['the', '72nd', 'Regiment']","['七', '十', '二', '团']",3,5,2,5
198,"['a', 'day', 'and', 'a', 'night']",,6,10,-1,-1
201,['Xingtai'],"['邢', '台']",26,26,17,18
201,['Neiqiu'],"['内', '丘']",28,28,20,21
201,['60'],,19,19,-1,-1
201,"['a', 'few', 'days']",,31,33,-1,-1
202,['Japanese'],"['日', '军']",15,15,3,4
203,"['Yangquan', 'City']","['阳', '泉', '市']",3,4,0,2
203,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",43,46,66,68
203,['Japanese'],,1,1,-1,-1
203,"['15', 'to', '16', 'years']",,17,20,-1,-1
204,['first'],"['第', '一']",2,2,0,1
204,"['August', '20', 'to', 'September', '10', ',', '1940']","['一', '九', '四', '零', '天', '八', '月', '二', '十', '日', '至', '九', '月', '十', '日']",5,11,5,19
204,['Zhengtai'],"['正', '太']",25,25,22,23
204,['Tongpu'],"['同', '蒲']",27,27,25,26
204,['Pinghai'],"['平', '汉']",29,29,28,29
204,['Jinfu'],"['津', '浦']",32,32,31,32
204,"['the', 'Zhengtai', 'Railway']","['正', '太', '铁', '路']",39,41,50,53
205,['second'],"['第', '二']",2,2,0,1
205,"['September', '22', 'to', 'early', 'October']","['九', '月', '二', '十', '二', '日', '至', '十', '月', '上', '旬']",5,9,5,15
206,['third'],"['第', '三']",2,2,0,1
206,"['October', '6', 'to', 'December', '4']","['十', '月', '六', '日', '至', '十', '二', '月', '四', '日']",5,9,5,14
206,['Japanese'],"['日', '伪', '军']",22,22,23,25
208,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",7,10,20,23
211,"['Eighth', 'Route', 'Army']","['八', '路', '军']",6,8,2,4
211,"['Xu', 'Xiaobing']","['徐', '肖', '冰']",11,12,9,11
211,"['Peng', 'Dehuai']","['彭', '德', '怀']",17,18,23,25
211,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",26,29,27,30
212,"['Mao', 'Zedong']","['毛', '泽', '东']",2,3,2,4
212,['Peng'],['彭'],22,22,20,20
214,['Japanese'],"['日', '伪', '军']",4,4,8,10
214,"['46,480']","['四', '万', '六', '千', '四', '百', '八', '十']",3,3,12,19
215,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",1,4,0,2
215,"['the', 'Hundred', 'Regiments', 'Offensive']","['百', '团', '大', '战']",6,9,5,8
215,"['North', 'China']","['华', '北']",18,19,12,13
216,"['Li', 'Jingtang']","['李', '景', '堂']",1,2,0,2
216,"['Taihong', 'Mountain']","['太', '行', '山', '区']",12,13,21,24
217,"['World', 'War', 'II']","['第', '二', '次', '世', '界', '大', '战']",1,3,0,6
217,"['two', 'hundred', 'thousand']","['二', '十', '万']",6,8,7,9
217,"['Chinese', 'Expeditionary', 'Force']","['中', '国', '远', '征', '军']",10,12,10,14
218,"['60', 'years', 'ago']","['六', '十', '年', '前']",23,25,4,7
218,['China'],['中'],16,16,8,8
218,['US'],['美'],19,19,10,10
218,['Britain'],['英'],22,22,12,12
218,['Japanese'],"['日', '寇']",32,32,26,27
219,"['CCTV', 'International', 'Channel']","['中', '央', '电', '视', '台', '国', '际', '频', '道']",10,12,7,15
219,"['Across', 'the', 'Strait']",['两'],6,8,19,19
221,['Taiwan'],"['台', '湾']",5,5,2,3
221,"['March', '19']","['三', '幺', '九', '枪', '击', '案']",11,12,15,20
222,"['Hot', 'Topic', 'Analysis']",,11,13,-1,-1
223,['Abramov'],"['阿', '布', '拉', '莫', '夫']",3,3,4,8
224,['Kadyrov'],"['卡', '特', '罗', '夫']",7,7,9,12
224,['First'],,3,3,-1,-1
225,"['White', 'House']","['白', '宫']",17,18,25,26
225,['Bush'],"['布', '什']",21,21,33,34
225,['Putin'],"['普', '京']",23,23,36,37
225,['Korean'],"['朝', '鲜', '半', '岛']",35,35,46,49
225,['Iran'],"['伊', '朗']",41,41,54,55
225,['Russian'],"['俄', '罗', '斯']",47,47,62,64
225,['WTO'],"['世', '界', '贸', '易', '组', '织']",51,51,67,72
226,"['Xu', 'Li']","['徐', '丽']",2,3,2,3
227,"['Wang', 'Shilin']","['王', '世', '林']",13,14,9,11
227,"['Focus', 'Today']","['今', '日', '关', '注']",8,9,15,18
230,['APEC'],"['Ａ', 'Ｐ', 'Ｅ', 'Ｃ']",3,3,9,12
230,['Japanese'],"['日', '本']",6,6,29,30
230,"['Junichiro', 'Koizumi']","['小', '泉', '纯', '一', '郎']",9,10,33,37
230,['fifth'],"['第', '五']",16,16,38,39
230,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",12,13,43,46
230,['China'],['中'],27,27,50,50
230,"['South', 'Korea']",['韩'],29,30,51,51
230,['Asian'],"['亚', '洲']",23,23,53,54
231,['APEC'],"['Ａ', 'Ｐ', 'Ｅ', 'Ｃ']",11,11,9,12
231,['Japan'],"['日', '本']",5,5,27,28
233,"['the', 'Chinese', 'International', 'Channel']","['中', '文', '国', '际', '频', '道']",9,12,4,9
233,"['Focus', 'Today']","['今', '日', '关', '注']",6,7,15,18
234,['APEC'],"['Ａ', 'Ｐ', 'Ｅ', 'Ｃ']",1,1,9,12
234,"['Pusan', ',', 'South', 'Korea']","['韩', '国']",9,12,32,33
235,['Japan'],"['日', '本']",12,12,6,7
235,['US'],"['美', '国']",10,10,13,14
235,['Asian'],"['亚', '洲']",23,23,31,32
236,['Asian'],"['亚', '洲']",6,6,4,5
236,"['October', '17', 'this', 'year']","['今', '年', '的', '十', '月', '十', '七', '号']",12,15,15,22
236,"['Junichiro', 'Koizumi']","['小', '泉']",22,23,24,25
236,"['the', 'four', 'years']","['四', '年']",37,39,45,46
236,['fifth'],"['第', '五']",34,34,50,51
236,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",30,31,59,62
237,['Japan'],"['日', '本']",17,17,9,10
237,"['Liu', 'Jiangyong']","['刘', '江', '永']",7,8,16,18
237,"['Jin', 'Xide']","['金', '熙', '德']",11,12,22,24
238,['two'],['两'],2,2,2,2
239,"['this', 'afternoon']","['今', '天', '下', '午']",10,11,9,12
239,['Koizumi'],"['小', '泉']",6,6,15,16
239,['Pusan'],"['釜', '山']",9,9,20,21
240,"['the', 'afternoon']","['下', '午']",1,2,4,5
240,"['South', 'Korean']","['韩', '国']",6,7,9,10
240,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",9,12,13,15
241,['two'],['两'],1,1,3,3
250,['two'],['两'],11,11,17,17
252,['Koizumi'],"['小', '泉']",2,2,2,3
256,"['South', 'Korean']","['韩', '国']",9,10,11,12
257,['two'],"['双', '方']",7,7,3,4
258,"['South', 'Korea']","['韩', '国']",17,18,7,8
258,['Japan'],"['日', '本']",20,20,10,11
258,"['this', 'year']","['今', '年']",4,5,12,13
258,['40th'],"['四', '十', '周', '年']",8,8,25,28
259,['fortieth'],"['四', '十', '周', '年']",1,1,2,5
263,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",14,17,15,17
263,"['the', 'end', 'of', 'this', 'year']","['年', '末']",28,32,23,24
263,['Japan'],"['日', '本']",23,23,30,31
267,['Koizumi'],"['小', '泉']",5,5,6,7
267,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",10,13,10,12
268,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",29,32,31,33
269,['Liu'],['刘'],10,10,15,15
271,['Japan'],"['日', '本']",8,8,7,8
271,['Koizumi'],"['小', '泉']",13,13,13,14
278,"['South', 'Korean']","['韩', '国']",13,14,17,18
280,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",10,11,15,18
290,"['the', 'Cold', 'War']","['冷', '战']",16,18,9,10
290,"['the', 'United', 'States']","['美', '国']",23,25,35,36
290,['one'],"['第', '一']",29,29,40,41
294,['two'],['两'],4,4,3,3
298,['Asia'],"['亚', '洲']",7,7,4,5
300,['Asian'],"['亚', '洲']",15,15,10,11
300,['US'],"['美', '国']",23,23,25,26
300,['Japan'],"['日', '本']",35,35,33,34
301,['Japan'],"['日', '本']",2,2,1,2
301,['US'],"['美', '国']",6,6,6,7
301,['US'],"['美', '国']",22,22,17,18
306,['two'],"['二', '加', '二']",5,5,13,15
306,['US'],"['美', '国']",16,16,27,28
306,['Japan'],"['日', '本']",20,20,37,38
306,['two'],,9,9,-1,-1
307,['Japan'],"['日', '本']",13,13,7,8
309,['JDA'],"['防', '卫', '厅']",4,4,6,8
309,['US'],"['美', '国']",11,11,14,15
310,['US'],"['美', '国']",5,5,6,7
310,['Japan'],"['日', '本']",7,7,9,10
312,['Koizumi'],"['小', '泉']",7,7,3,4
312,['US'],"['美', '国']",13,13,22,23
312,"['Cold', 'War']","['冷', '战']",27,28,39,40
314,['Japan'],"['日', '本']",5,5,7,8
314,['1957'],"['五', '七', '年']",4,4,9,11
314,['three'],['三'],7,7,18,18
314,['Asian'],"['亚', '洲']",29,29,41,42
314,"['the', 'United', 'Nations']","['联', '合', '国']",33,35,48,50
314,['Western'],,26,26,-1,-1
318,['three'],['三'],2,2,1,1
321,['Koizumi'],"['小', '泉']",6,6,7,8
321,['America'],"['美', '洲']",19,19,29,30
