line,src_span_toks,tgt_span_toks,src_span_start,src_span_end,tgt_span_start,tgt_span_end
23,"['the', 'Ocean', 'Theater']","['海', '洋', '剧']",9,11,2,4
24,"['the', 'Ocean', 'Park']","['与', '迪', '斯', '尼', '同', '处', '一', '城', '的', '海', '洋', '公', '园']",8,10,12,24
24,"['Hong', 'Kong']","['一', '城']",5,6,18,19
24,['Disney'],"['一', '城', '的', '海', '洋', '公', '园']",3,3,18,24
24,['Disney'],"['一', '城', '的', '海', '洋', '公', '园']",17,17,18,24
28,"['the', 'North', 'Pole']","['有', '北', '极']",6,8,2,4
36,"['the', 'Avenue', 'of', 'Stars']",['星'],3,6,0,0
37,['East'],['东'],4,4,2,2
40,"['New', 'World', 'Travel']",['新'],5,7,7,7
41,"['Hong', 'Kong']","['香', '港']",9,10,0,1
42,"['Hong', 'Kong']","['他', '们', '拉', '近', '了', '香', '港']",6,7,0,6
43,"['the', 'Avenue', 'of', 'Stars']","['在', '星']",2,5,0,1
44,"['Victoria', 'Harbor']","['这', '个', '维', '多', '利', '亚', '港']",7,8,10,16
52,"['Hong', 'Kong']","['这', '也', '是', '香', '港']",13,14,0,4
55,"['Wetland', 'Park']","['我', '们', '湿', '地', '公', '园']",5,6,10,15
59,"['the', 'Wetland', 'Park', 'Exploration', 'Center']","['呃', '湿', '地', '公', '园']",2,6,0,4
60,['Shenzhen'],"['呃', '深', '圳']",15,15,21,23
60,"['Hong', 'Kong']","['香', '港']",10,11,13,14
65,"['Hong', 'Kong']","['在', '香', '港']",11,12,16,18
71,['three'],['三'],4,4,11,11
71,"['Hong', 'Kong', 'Wetland', 'Park']","['此', '香', '港', '湿', '地', '公', '园']",12,15,1,7
73,"['1,500']","['一', '千', '五', '百']",6,6,13,16
75,"['two', 'to', 'three', 'hundred']","['三', '百']",8,11,11,12
75,"['Hong', 'Kong']","['大', '概', '有', '有', '两', '三', '百', '只', '左', '右', '吧', '会', '到', '香', '港']",16,17,6,20
76,"['Hong', 'Kong', 'Wetland', 'Park']","['在', '香', '港', '湿', '地', '公', '园']",9,12,7,13
79,"['the', 'year', '2006']","['我', '们', '定', '了', '二', '零', '零', '六']",5,7,1,8
83,['2006'],"['香', '港', '旅', '游', '年']",17,17,38,42
87,"['Lantau', 'Island']","['大', '屿', '山']",4,5,0,2
87,"['Hong', 'Kong']","['大', '屿', '山', '由', '此', '开', '始', '成', '为', '香', '港']",10,11,0,10
88,['Chinese'],"['在', '中', '国']",1,1,0,2
91,"['Lantau', 'Island']","['大', '屿', '山']",7,8,9,11
91,"['Hong', 'Kong', 'International', 'Airport']","['在', '国', '际', '上', '享', '有', '盛', '誉', '的', '香', '港']",13,16,16,26
91,['Disneyland'],"['大', '屿', '山']",22,22,9,11
92,"['Lantau', 'Island']","['大', '屿', '山']",4,5,0,2
94,"['Hong', 'Kong']","['一', '个', '连', '接', '香', '港']",14,15,8,13
94,['Macao'],['这'],20,20,28,28
94,['Zhuhai'],"['珠', '海']",17,17,15,16
95,['1992'],"['二', '年']",1,1,1,2
97,['1999'],"['这', '个', '就', '是', '在', '一', '九', '九', '九', '年']",7,7,1,10
98,"['20', 'years']","['２', '０', '年']",2,3,4,6
100,"['Hong', 'Kong']","['从', '香', '，', '香', '港']",5,6,1,5
100,['Zhuhai'],"['珠', '海']",11,11,20,21
100,['Macao'],"['澳', '门']",8,8,12,13
102,"['an', 'hour', 'later']","['一', '个', '小', '时', '后']",33,35,31,35
102,['Disneyland'],"['一', '个', '小', '时', '后', '就', '已', '在', '香', '港', '迪', '斯', '尼', '公', '园']",31,31,31,45
102,['Macao'],"['小', '时', '还', '在', '澳']",26,26,20,24
102,['Zhuhai'],"['大', '桥']",2,2,3,4
103,"['Hong', 'Kong', 'Disneyland']","['迪', '斯', '尼', '公', '园']",2,4,2,6
104,['Disney'],"['在', '迪']",8,8,2,3
107,['Disneyland'],"['他', '们', '一', '定', '是', '到', '迪', '斯', '尼']",13,13,20,28
109,"['Hong', 'Kong']","['香', '港']",5,6,8,9
113,"['Hong', 'Kong', ':', 'a', 'Shopping', 'Paradise']","['本', '期', '的', '走', '遍', '中', '国', '香', '港', '之', '购', '物', '天', '堂']",6,11,4,17
114,['Yinchuan'],"['在', '银', '川', '市']",24,24,26,29
114,"['Ningxia', 'Investment', 'and', 'Trade', 'Fair']","['二', '零', '零', '五', '宁', '夏', '投', '资', '贸', '易', '洽', '谈', '会']",4,8,3,15
114,"['Ningxia', '-', 'Taiwan', 'Economic', 'and', 'Trade', 'Cooperation', 'Seminar']","['宁', '台', '经', '贸', '合', '作', '研', '讨', '会']",10,17,17,25
114,['2005'],['在'],3,3,26,26
115,['Taiwanese'],"['此', '众', '多', '的', '台', '商']",21,21,23,28
115,['Ningxia'],"['宁', '夏']",8,8,9,10
117,['KMT'],"['三', '号', '下', '午', '抵', '达', '党']",1,1,6,12
117,"['Lien', 'Chan']","['三', '号', '下', '午', '抵', '达', '党', '部', '拜', '会', '国', '民', '党', '主', '席', '连', '战']",13,14,6,22
117,['KMT'],"['三', '号', '下', '午', '抵', '达', '党', '部', '拜', '会', '国', '民', '党']",11,11,6,18
117,"['the', 'afternoon', 'of']","['三', '号', '下']",16,18,6,8
118,"['Wang', 'Jin', '-', 'pyng']","['王', '金']",9,12,12,13
118,['KMT'],['王'],22,22,12,12
118,"['over', 'an', 'hour']","['一', '个', '多', '小', '时']",5,7,2,6
119,"['Lien', 'Chan']",['他'],6,7,0,0
121,"['Across', 'China']","['中', '国']",10,11,6,7
122,"['Taihang', 'Mountain']","['在', '太', '行', '山']",3,4,11,14
122,"['the', 'Monument', 'to', 'the', 'Hundred', 'Regiments', 'Offensive']","['在', '太', '行', '山']",6,12,11,14
123,"['the', 'Great', 'Wall']","['长', '城']",20,22,19,20
125,"['the', 'Eighth', 'Route', 'Army']","['当', '年', '八', '路', '军']",12,15,14,18
125,"['Zhuanbi', 'Village', ',', 'Wuxiang', 'County']","['这', '里', '是', '山', '西', '省', '武', '乡', '县']",2,6,0,8
125,"['Shanxi', 'Province']","['这', '里', '是', '山', '西', '省', '武', '乡', '县']",8,9,0,8
126,['European'],['欧'],4,4,6,6
127,['German'],['德'],4,4,6,6
127,['Czechoslovakia'],"['波', '兰', '，', '荷', '兰']",9,9,13,17
127,['Poland'],"['波', '兰']",11,11,13,14
127,['France'],"['波', '兰', '，', '荷', '兰', '，', '比', '利', '时', '和', '法', '国']",19,19,13,24
127,['Belgium'],"['波', '兰']",16,16,13,14
127,['1940'],['，'],1,1,5,5
127,['Netherlands'],"['波', '兰']",14,14,13,14
128,['May'],"['在', '五', '月']",1,1,2,4
128,['Japanese'],['日'],4,4,0,0
129,['Yichang'],"['这', '个', '中', '国', '的', '一', '个', '重', '要', '城', '市', '叫', '宜', '昌']",12,12,10,23
129,['China'],"['他', '就', '占', '领', '了', '这', '个', '中', '国']",10,10,5,13
130,['Chongqing'],"['这', '个', '宜', '昌']",13,13,0,3
130,['Yichang'],"['这', '个', '宜', '昌']",7,7,0,3
131,['Chongqing'],['。'],4,4,7,7
132,['Chongqing'],"['这', '些', '大', '后', '方']",13,13,6,10
133,"['Hong', 'Kong']","['这', '个', '呃', '互', '相', '的', '这', '个', '配', '合', '下', '呢', '，', '呃', '在', '香', '港']",27,28,20,36
133,['KMT'],"['军', '事', '进', '攻', '，', '战', '略']",32,32,8,14
135,"['Eighth', 'Route', 'Army']","['八', '路', '军']",1,3,0,2
135,"['North', 'China']",['华'],19,20,11,11
135,['Japanese'],"['八', '路', '军', '游', '击', '队', '异', '常', '活', '跃', '给', '华', '北', '地', '区', '的', '日']",16,16,0,16
136,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",17,20,9,11
136,"['the', 'Jizhong', 'Military', 'District']","['彭', '德', '怀', '，', '收', '到', '来', '自', '冀', '中', '军', '区']",32,35,22,33
136,"['Zhu', 'De']","['朱', '德']",9,10,15,16
136,"['Peng', 'Dehuai']","['朱', '德']",14,15,15,16
136,"['Lu', 'Zhengcao']","['朱', '德', '，', '副', '总', '司', '令', '彭', '德', '怀']",29,30,15,24
136,"['December', '1939']","['二', '月']",1,2,6,7
137,"['the', 'Eighth', 'Route', 'Army']","['日', '军']",38,41,4,5
137,['Japanese'],['日'],5,5,4,4
137,['Jizhong'],"['日', '军', '正', '试', '图', '通', '过', '修', '建', '封', '锁']",19,19,4,14
138,"['the', 'Hundred', 'Regiments', 'Offensive']","['在', '百', '团', '大']",1,4,4,7
138,['China'],"['前', '呢', '，', '中', '国']",27,27,9,13
138,['1940'],"['大', '战', '前', '呢', '，', '中', '国']",6,6,7,13
139,['Japan'],['日'],22,22,8,8
142,"['the', 'Eighth', 'Route', 'Army']","['这', '个', '中', '国', '共', '产', '党', '领', '导', '这', '个', '八', '路', '军']",13,16,20,33
142,"['the', 'Chinese', 'Communist', 'Party']","['这', '个', '中', '国', '共', '产', '党']",19,22,20,26
142,"['the', 'Hundred', 'Regiments', 'Offensive']","['这', '个', '八', '路', '军']",34,37,29,33
143,"['Eighth', 'Route', 'Army']","['八', '路', '军']",16,18,8,10
143,"['Zhu', 'De']","['这', '一', '阴', '谋', '引', '起', '八', '路', '军', '总', '部', '朱', '德']",10,11,2,14
143,"['Peng', 'Dehuai']","['这', '一', '阴', '谋', '引', '起', '八', '路', '军', '总', '部', '朱', '德', '，', '彭', '德']",13,14,2,17
143,['Japanese'],"['这', '一', '阴', '谋', '引', '起', '八', '路', '军', '总', '部', '朱']",4,4,2,13
146,"['the', 'Hundred', 'Regiments', 'Offensive']","['这', '个', '一', '共', '是', '分', '了', '三', '个', '阶', '段']",2,5,7,17
147,"['August', '20', 'to', 'September', '10']","['八', '月', '二', '十']",6,10,1,4
147,"['August', '20']","['八', '月', '二', '十', '号', '开', '始', '，', '八', '月', '二', '十']",2,3,1,12
148,"['the', 'Niangziguan', 'Pass']","['这', '条', '铁', '路', '线']",5,7,1,5
148,['Yangquan'],"['这', '条', '铁', '路', '线', '上', '，', '有', '天', '险', '娘', '子']",23,23,1,12
148,['Japanese'],"['这', '条', '铁', '路', '线', '上', '，', '有', '天', '险', '娘', '子', '关', '和', '日']",26,26,1,15
148,['Jingjing'],"['这', '条', '铁', '路', '线', '上', '，', '有', '天', '险', '娘', '子', '关', '和', '日', '军']",15,15,1,16
148,"['North', 'China']","['这', '条', '铁', '路', '线', '上', '，', '有', '天', '险', '娘', '子']",29,30,1,12
149,['50'],"['五', '十']",26,26,35,36
149,['4th'],"['第', '四']",11,11,12,13
149,['Japanese'],['日'],7,7,9,9
149,['8th'],"['日', '军', '以', '第', '四']",13,13,9,13
149,['Taiyuan'],"['太', '原']",2,2,1,2
149,['Shijiazhuang'],"['太', '原']",4,4,1,2
149,['93rd'],"['第', '九']",16,16,18,19
150,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",8,11,4,6
152,"['a', 'night', 'in', 'late', 'July', '1940']","['一', '个', '夜', '晚', '，', '陕', '西', '砖', '壁', '村', '的', '气', '氛']",1,6,10,22
152,['Shaanxi'],"['陕', '西']",14,14,15,16
152,"['Xiao', 'Jianghe']","['一', '个', '夜', '晚', '，', '陕', '西', '砖', '壁', '村', '的', '气', '氛']",19,20,10,22
159,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",12,15,15,17
159,"['10:00', 'p.m.', 'on', 'August', '20', ',', '1940']","['二', '十', '日', '晚', '上', '十', '点', '，', '八', '路', '军']",1,7,7,17
160,"['the', 'Zhengtai', 'Railway']","['在', '正', '太', '路']",33,35,20,23
160,"['the', 'Shanxi', '-', 'Chahar', '-', 'Hebei', 'Military', 'District']","['聂', '荣', '臻', '率', '晋', '察', '冀', '军', '区']",5,12,0,8
160,['Japanese'],"['在', '正']",41,41,20,21
160,['fifteen'],"['十', '五']",25,25,26,27
160,"['Nie', 'Rongzhen']","['聂', '荣', '臻', '率', '晋', '察', '冀', '军', '区', '进', '入', '攻', '击', '状', '态', '，']",2,3,0,15
161,"['the', '129th', 'Division']","['在', '八', '月', '二', '十', '日', '夜', '里', '，', '第', '幺', '二', '九', '师']",10,12,2,15
161,"['the', 'night', 'of', 'August', '20']","['在', '八', '月', '二', '十']",4,8,2,6
161,['eight'],"['一', '纵', '队', '两', '个', '团', '，', '八']",26,26,45,52
161,"['the', '1st', 'Dare', '-', 'to', '-', 'Die', 'Corps']","['第', '幺', '二', '九', '师']",33,40,11,15
161,['two'],"['一', '纵', '队', '两']",30,30,45,48
161,['eight'],"['二', '九']",42,42,13,14
161,"['Deng', 'Xiaoping']","['二', '九', '师', '在', '师', '长', '刘', '伯', '承', '，', '政', '治', '委', '员', '邓', '小', '平']",22,23,13,29
161,"['Liu', 'Bocheng']","['小', '平']",17,18,28,29
162,"['the', 'Zhengtai', 'Railway']","['对', '正', '太', '铁', '路']",32,34,8,12
162,"['the', 'night', 'of', 'August', '20']","['八', '月', '二', '十']",1,5,1,4
162,['Japanese'],"['第', '四', '旅']",14,14,21,23
163,['Yushe'],"['榆', '社']",19,19,13,14
163,['Liaoxian'],"['榆', '社']",16,16,13,14
163,['Pingliao'],"['另', '以', '两', '个', '团', '会', '同', '平', '定']",26,26,0,8
163,['Pingding'],"['辽', '县']",14,14,10,11
164,"['three', 'hours']","['三', '个', '多', '小', '时']",16,17,12,16
164,"['less', 'than', 'four', 'hours']","['小', '时']",11,14,9,10
165,['four'],"['这', '个', '处', '理', '完', '以', '后', '呢', '，', '还', '炸', '了', '四']",7,7,0,12
166,"['this', 'night']","['这', '个', '夜']",4,5,3,5
166,"['the', 'Tongpu', 'Railway']","['丰', '润', '村', '等', '据', '点', '，', '切', '断', '了', '同', '蒲', '铁', '路']",32,34,69,82
166,"['the', '120th', 'Division']","['在', '这', '个', '夜', '里', '，', '第', '幺', '二', '零', '师']",7,9,2,12
166,['Yangfangkou'],"['这', '个', '夜', '里', '，', '第', '幺', '二', '零', '师', '在', '师', '长', '贺', '龙']",50,50,3,17
166,['20'],"['二', '十']",24,24,31,32
166,"['the', 'Tongpu', 'railway']","['北', '段', '和', '铁', '路']",64,66,44,48
166,"['He', 'Long']","['这', '个', '夜', '里', '，', '第', '幺', '二', '零', '师', '在', '师', '长', '贺', '龙']",15,16,3,17
166,['Kangjiahui'],"['忻', '县', '至', '静', '乐']",52,52,86,90
166,['Xinxian'],"['这', '个', '夜', '里', '，', '第', '幺', '二', '零', '师', '在', '师', '长', '贺', '龙']",71,71,3,17
166,"['Fengrui', 'Village']","['静', '乐']",55,56,89,90
166,['Jingle'],"['康', '家', '会', '，', '丰', '润']",73,73,65,70
166,['Fenyang'],"['第', '幺', '二', '零', '师', '在', '师', '长', '贺', '龙']",75,75,8,17
166,"['Guan', 'Xiangying']","['在', '师', '长', '贺', '龙']",20,21,13,17
167,"['the', 'Tongpu', 'Railway']","['津', '浦', '，', '德', '石', '等', '铁', '路', '线', '和', '一', '些', '主', '要', '公', '路']",16,18,77,92
167,"['the', 'Zhengtai', 'Railway']","['津', '浦', '，', '德', '石', '等', '铁', '路', '线']",8,10,77,85
167,"['the', 'Shanxi', '-', 'Chahar', '-', 'Hebei', 'Military', 'District']","['第', '幺', '二', '九', '师', '和', '晋', '察', '冀', '军', '区']",24,31,19,29
167,"['the', '129th', 'Division']","['第', '幺', '二', '九', '师', '和', '晋', '察', '冀', '军']",20,22,19,28
167,['Japanese'],"['第', '幺', '二', '九', '师', '和', '晋']",88,88,19,25
167,['50'],"['许', '多']",40,40,101,102
167,['Lishi'],"['平', '绥', '，', '北', '宁', '，', '白', '晋', '，', '津', '浦', '，', '德', '石']",44,44,68,81
167,['Deshi'],"['德', '石']",69,69,80,81
167,['Yang'],['据'],42,42,103,103
167,['Baijin'],"['德', '石']",64,64,80,81
167,['Pingsui'],"['德', '石']",60,60,80,81
167,['Pinghan'],"['）', '）', '等', '和', '民', '兵', '的', '配', '合', '下', '，', '对', '平', '汉']",58,58,53,66
167,['Jinpu'],"['德', '石']",66,66,80,81
167,['Beining'],"['德', '石']",62,62,80,81
168,"['Eighth', 'Route', 'Army']","['彭', '德', '怀', '在', '八', '路', '军']",21,23,9,15
168,"['Peng', 'Dehuai']","['彭', '德']",7,8,9,10
168,"['the', 'afternoon', 'of', 'August', '22']","['八', '月', '二']",1,5,0,2
169,"['more', 'than', '200,000']","['二', '十', '多', '万']",7,9,2,5
170,"['no', 'less', 'than', '400,000']","['呃', '自', '愿', '配', '合', '参', '加', '作', '战', '的', '不', '下', '有', '四', '十', '万']",7,10,18,33
171,"['600,000', '-', 'plus']","['大', '概']",5,7,11,12
173,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",17,20,16,18
180,"['the', 'Eighth', 'Route', 'Army']","['主', '动', '权', '一', '直', '掌', '握', '在', '八', '路', '军']",14,17,9,19
181,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",4,7,3,5
190,['Zhengtai'],['郑'],2,2,3,3
190,['Zhengding'],"['正', '定']",9,9,10,11
190,['Taiyuan'],"['这', '个', '从', '郑']",17,17,0,3
190,['Shijiazhuang'],"['石', '家', '庄', '，', '到', '太', '原']",14,14,15,21
191,['Zhengtai'],"['这', '个', '郑', '太', '路', '上', '主', '要', '是', '破', '坏', '金', '溪']",7,7,9,21
191,['Jinxi'],"['这', '个', '郑']",14,14,9,11
197,"['the', '72nd', 'Regiment']","['七', '十', '二', '团']",3,5,2,5
201,['Xingtai'],"['他', '们', '一', '面', '打', '仗', '一', '面', '破', '路', '，', '仅', '由', '邢', '台']",26,26,4,18
201,['Neiqiu'],"['他', '们', '一', '面', '打', '仗', '一', '面', '破', '路', '，']",28,28,4,14
202,['Japanese'],"['一', '条', '被', '日']",15,15,0,3
203,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",43,46,66,68
203,"['Yangquan', 'City']","['阳', '泉', '市']",3,4,0,2
204,['first'],['第'],2,2,0,0
204,"['the', 'Zhengtai', 'Railway']","['正', '太', '铁', '路']",39,41,50,53
204,['Zhengtai'],"['平', '汉']",25,25,28,29
204,['Pinghai'],"['平', '汉']",29,29,28,29
204,['Jinfu'],"['津', '浦']",32,32,31,32
204,"['August', '20', 'to', 'September', '10', ',', '1940']","['第', '一', '阶']",5,11,0,2
204,['Tongpu'],"['同', '蒲', '，', '平', '汉']",27,27,25,29
205,['second'],['二'],2,2,1,1
205,"['September', '22', 'to', 'early', 'October']","['第', '二', '阶', '段', '从', '九', '月', '二', '十', '二', '日', '至', '十', '月', '上', '旬']",5,9,0,15
206,['third'],['三'],2,2,1,1
206,"['October', '6', 'to', 'December', '4']","['从', '十', '月', '六', '日', '至', '十', '二', '月', '四']",5,9,4,13
206,['Japanese'],"['反', '击', '日']",22,22,21,23
208,"['the', 'Hundred', 'Regiments', 'Offensive']","['每', '一', '个', '人', '都', '有', '自', '己', '的', '记', '忆']",7,10,0,10
211,"['Eighth', 'Route', 'Army']","['八', '路', '军']",6,8,2,4
211,"['the', 'Hundred', 'Regiments', 'Offensive']","['彭', '德', '怀', '在', '百', '团', '大', '战', '前', '线']",26,29,23,32
211,"['Peng', 'Dehuai']","['彭', '德', '怀', '在', '百', '团', '大', '战', '前', '线']",17,18,23,32
211,"['Xu', 'Xiaobing']","['徐', '肖', '冰']",11,12,9,11
212,['Peng'],['我'],22,22,19,19
212,"['Mao', 'Zedong']","['我', '彭']",2,3,19,20
214,"['46,480']","['四', '万', '六', '千', '四', '百', '八', '十']",3,3,12,19
214,['Japanese'],"['共', '计', '毙', '伤', '俘', '和', '投', '诚', '日']",4,4,0,8
215,"['the', 'Eighth', 'Route', 'Army']","['八', '路', '军']",1,4,0,2
215,"['the', 'Hundred', 'Regiments', 'Offensive']","['大', '战', '后', '，', '从', '华', '北', '敌']",6,9,7,14
215,"['North', 'China']","['大', '后', '方']",18,19,17,19
216,"['Li', 'Jingtang']","['李', '景', '堂']",1,2,0,2
216,"['Taihong', 'Mountain']","['在', '太', '行', '山']",12,13,20,23
217,"['two', 'hundred', 'thousand']","['二', '十', '万']",6,8,7,9
217,"['World', 'War', 'II']","['大', '战', '二']",1,3,5,7
217,"['Chinese', 'Expeditionary', 'Force']","['大', '战', '二', '十', '万', '中', '国', '远', '征', '军']",10,12,5,14
218,"['60', 'years', 'ago']","['六', '十', '年', '前']",23,25,4,7
218,['US'],"['前', '中', '，', '美']",19,19,7,10
218,['Japanese'],"['三', '国', '军', '队', '并', '肩', '作', '战', '，', '共', '同', '抗', '击', '日']",32,32,13,26
218,['China'],"['前', '中', '，', '美']",16,16,7,10
218,['Britain'],"['三', '国']",22,22,13,14
219,"['Across', 'the', 'Strait']","['这', '里', '是']",6,8,4,6
219,"['CCTV', 'International', 'Channel']","['这', '里', '是', '中', '央', '电', '视', '台']",10,12,4,11
221,"['March', '19']","['三', '幺', '九']",11,12,15,17
221,['Taiwan'],"['由', '于', '台']",5,5,0,2
223,['Abramov'],"['阿', '布', '拉', '莫', '夫']",3,3,4,8
224,['Kadyrov'],"['前', '车', '臣']",7,7,1,3
225,['WTO'],['贸'],51,51,69,69
225,['Putin'],"['在', '会', '晤']",23,23,3,5
225,"['White', 'House']","['内', '容', '没', '有', '被', '公', '开', '，', '但', '是', '呢', '，', '根', '据', '白', '宫']",17,18,11,26
225,['Russian'],"['据', '白', '宫', '的', '官', '员']",47,47,24,29
225,['Iran'],"['伊', '朗', '核', '问', '题', '，', '还', '有', '俄']",41,41,54,62
225,['Korean'],"['朝', '鲜', '半', '岛']",35,35,46,49
225,['Bush'],"['但', '是', '呢', '，', '根', '据', '白', '宫']",21,21,19,26
226,"['Xu', 'Li']","['我', '是', '徐', '丽']",2,3,0,3
227,"['Wang', 'Shilin']","['王', '世', '林']",13,14,9,11
227,"['Focus', 'Today']","['王', '世', '林', '主', '持', '的', '今']",8,9,9,15
230,"['South', 'Korea']","['第', '五', '度', '参', '拜', '靖', '国', '神', '社', '，', '受', '到', '中', '韩']",29,30,38,51
230,['APEC'],['Ａ'],3,3,9,9
230,"['Yasukuni', 'Shrine']",['Ａ'],12,13,9,9
230,['Japanese'],['Ａ'],6,6,9,9
230,['Asian'],['Ａ'],23,23,9,9
230,['China'],"['第', '五', '度', '参', '拜', '靖', '国', '神', '社', '，', '受', '到', '中', '韩']",27,27,38,51
230,"['Junichiro', 'Koizumi']","['小', '泉', '纯']",9,10,33,35
230,['fifth'],['五'],16,16,39,39
231,['APEC'],"['Ｃ', '＜', '／', 'Ｅ', 'ｎ', 'ｇ', 'ｌ', 'ｉ', 'ｓ', 'ｈ', '＞', '峰']",11,11,12,23
231,['Japan'],['Ａ'],5,5,9,9
233,"['the', 'Chinese', 'International', 'Channel']","['在', '直', '播']",9,12,11,13
233,"['Focus', 'Today']",['今'],6,7,15,15
234,"['Pusan', ',', 'South', 'Korea']","['在', '韩']",9,12,31,32
234,['APEC'],['Ａ'],1,1,9,9
235,['Asian'],"['他', '国', '家', '，', '尤', '其', '是', '亚']",23,23,24,31
235,['Japan'],"['而', '忽', '视', '了', '和', '其', '他', '国', '家', '，', '尤', '其', '是', '亚', '洲']",12,12,18,32
235,['US'],"['本', '呢', '一', '味', '地', '向', '美']",10,10,7,13
236,"['October', '17', 'this', 'year']","['在', '今', '年']",12,15,14,16
236,"['Junichiro', 'Koizumi']",['小'],22,23,24,24
236,"['Yasukuni', 'Shrine']","['他', '的', '亚', '洲', '邻', '国']",30,31,2,7
236,['Asian'],"['他', '的', '亚', '洲']",6,6,2,5
236,"['the', 'four', 'years']","['在', '今', '年']",37,39,14,16
236,['fifth'],"['第', '五']",34,34,50,51
237,"['Liu', 'Jiangyong']","['刘', '江']",7,8,16,17
237,"['Jin', 'Xide']","['刘', '江', '永', '教', '授', '和', '金', '熙', '德']",11,12,16,24
237,['Japan'],"['本', '问', '题', '专', '家', '，', '刘', '江', '永', '教', '授', '和', '金', '熙', '德']",17,17,10,24
238,['two'],['我'],2,2,11,11
239,"['this', 'afternoon']","['今', '天', '下', '午']",10,11,9,12
239,['Koizumi'],['小'],6,6,15,15
239,['Pusan'],"['今', '天', '下', '午', '呢', '，', '小', '泉', '抵', '达', '了', '釜', '山']",9,9,9,21
240,"['the', 'afternoon']","['在', '下', '午']",1,2,3,5
240,"['South', 'Korean']","['在', '下', '午', '呢', '，', '和', '韩']",6,7,3,9
240,"['Roh', 'Moo', '-', 'hyun']","['在', '下', '午', '呢', '，', '和', '韩', '国', '总', '统', '卢', '武', '铉']",9,12,3,15
241,['two'],['两'],1,1,3,3
250,['two'],"['一', '个', '合', '理', '的', '解', '决', '，', '那', '么', '两']",11,11,7,17
