line,src_span_toks,tgt_span_toks,src_span_start,src_span_end,tgt_span_start,tgt_span_end
147,"['August', '20', 'to', 'September', '10']","['八', '月', '二', '十', '号']",6,10,9,13
148,['Japanese'],['日'],26,26,15,15
148,"['the', 'Niangziguan', 'Pass']","['险', '娘', '子', '关']",5,7,10,13
148,"['North', 'China']",['北'],29,30,19,19
148,['Jingjing'],"['井', '陉']",15,15,30,31
148,['Yangquan'],"['华', '北']",23,23,18,19
149,['Japanese'],['日'],7,7,9,9
149,['4th'],['四'],11,11,13,13
149,['8th'],['八'],13,13,16,16
149,['Shijiazhuang'],"['石', '家', '庄']",4,4,4,6
149,['Taiyuan'],"['太', '原']",2,2,1,2
149,['50'],['五'],26,26,35,35
149,['93rd'],['第'],16,16,18,18
150,"['the', 'Eighth', 'Route', 'Army']","['于', '八', '路', '军']",8,11,3,6
152,"['Xiao', 'Jianghe']","['肖', '江', '河']",19,20,30,32
152,"['Zhuanbi', 'Village']","['砖', '壁', '村']",11,12,17,19
152,"['a', 'night', 'in', 'late', 'July', '1940']","['个', '夜', '晚', '，']",1,6,11,14
152,['Shaanxi'],"['陕', '西']",14,14,15,16
159,"['the', 'Eighth', 'Route', 'Army']",['军'],12,15,17,17
159,"['10:00', 'p.m.', 'on', 'August', '20', ',', '1940']","['十', '点', '，']",1,7,12,14
160,['Japanese'],['日'],41,41,42,42
160,['fifteen'],['十'],25,25,26,26
160,"['the', 'Shanxi', '-', 'Chahar', '-', 'Hebei', 'Military', 'District']",['区'],5,12,8,8
160,"['the', 'Zhengtai', 'Railway']","['在', '正', '太', '路']",33,35,20,23
160,"['Nie', 'Rongzhen']","['聂', '荣', '臻']",2,3,0,2
161,['eight'],['八'],26,26,35,35
161,['eight'],['八'],42,42,52,52
161,"['the', '129th', 'Division']","['第', '幺', '二', '九', '师']",10,12,11,15
161,"['Deng', 'Xiaoping']","['邓', '小', '平']",22,23,27,29
161,['two'],['两'],30,30,48,48
161,"['Liu', 'Bocheng']","['刘', '伯', '承']",17,18,19,21
161,['Division'],['师'],15,15,17,17
161,"['the', '1st', 'Dare', '-', 'to', '-', 'Die', 'Corps']","['第', '一', '纵', '队']",33,40,44,47
161,"['the', 'night', 'of', 'August', '20']","['在', '八', '月', '二', '十']",4,8,2,6
162,['Japanese'],['日'],14,14,15,15
162,['4th'],['四'],16,16,22,22
162,['9th'],['九'],24,24,32,32
162,"['the', 'Zhengtai', 'Railway']",['路'],32,34,12,12
162,"['the', 'night', 'of', 'August', '20']","['于', '八', '月', '二', '十']",1,5,0,4
163,['two'],['两'],2,2,2,2
163,['Yuliao'],"['榆', '辽']",28,28,27,28
163,['Yushe'],"['榆', '社']",19,19,13,14
163,['Pingliao'],"['榆', '辽']",26,26,27,28
163,['Pingding'],"['榆', '社']",14,14,13,14
163,['Liaoxian'],"['辽', '县']",16,16,10,11
164,"['three', 'hours']","['三', '个', '多', '小', '时']",16,17,12,16
164,"['less', 'than', 'four', 'hours']","['到', '四', '个', '小', '时']",11,14,6,10
165,['four'],['四'],7,7,12,12
166,"['this', 'night']","['这', '个', '夜']",4,5,3,5
166,"['the', '120th', 'Division']","['第', '幺', '二', '零', '师']",7,9,8,12
166,"['Fengrui', 'Village']","['丰', '润', '村']",55,56,69,71
166,"['He', 'Long']","['贺', '龙']",15,16,16,17
166,['Jingle'],"['静', '乐']",73,73,89,90
166,['Yangfangkou'],"['阳', '方', '口']",50,50,61,63
166,['Kangjiahui'],"['康', '家', '会']",52,52,65,67
166,"['the', 'Tongpu', 'Railway']",['路'],32,34,43,43
166,"['the', 'Tongpu', 'railway']",['路'],64,66,82,82
166,['20'],['十'],24,24,32,32
166,['Fenyang'],"['静', '乐']",75,75,89,90
166,"['Guan', 'Xiangying']","['贺', '龙']",20,21,16,17
166,['Xinxian'],"['静', '乐']",71,71,89,90
167,['Japanese'],['日'],88,88,96,96
167,"['the', '129th', 'Division']","['第', '幺', '二', '九', '师']",20,22,19,23
167,['Baijin'],"['白', '晋']",64,64,74,75
167,['Beining'],"['北', '宁']",62,62,71,72
167,"['the', 'Shanxi', '-', 'Chahar', '-', 'Hebei', 'Military', 'District']","['晋', '察', '冀', '军', '区']",24,31,25,29
167,['Jinpu'],"['德', '石']",66,66,80,81
167,"['the', 'Zhengtai', 'Railway']",['路'],8,10,6,6
167,['Pinghan'],"['平', '汉']",58,58,65,66
167,['Deshi'],"['德', '石']",69,69,80,81
167,['Pingsui'],"['白', '晋']",60,60,74,75
167,['50'],['五'],40,40,38,38
167,"['the', 'Tongpu', 'Railway']",['路'],16,18,6,6
167,['Lishi'],"['离', '石']",44,44,51,52
167,['Yang'],['阳'],42,42,49,49
168,"['Eighth', 'Route', 'Army']","['八', '路', '军']",21,23,13,15
168,"['Peng', 'Dehuai']","['彭', '德', '怀']",7,8,9,11
168,"['the', 'afternoon', 'of', 'August', '22']",['日'],1,5,5,5
169,"['more', 'than', '200,000']","['二', '十', '多', '万']",7,9,2,5
170,"['no', 'less', 'than', '400,000']","['有', '四', '十', '万']",7,10,30,33
171,"['600,000', '-', 'plus']","['六', '十', '万']",5,7,15,17
173,"['the', 'Eighth', 'Route', 'Army']","['是', '八', '路', '军']",17,20,15,18
176,"['seven', 'days', 'and', 'nights']","['七', '天', '七', '夜']",2,5,4,7
180,"['the', 'Eighth', 'Route', 'Army']",['军'],14,17,19,19
181,"['the', 'Eighth', 'Route', 'Army']",['军'],4,7,5,5
190,"['more', 'than', '400,000']","['四', '十', '多', '万']",19,21,27,30
190,['Taiyuan'],"['太', '原']",17,17,20,21
190,['Zhengtai'],"['郑', '太']",2,2,3,4
190,['Shijiazhuang'],"['石', '家', '庄']",14,14,15,17
190,['Zhengding'],"['这', '个', '正', '定']",9,9,8,11
191,['Jinxi'],"['金', '溪']",14,14,20,21
191,['Zhengtai'],"['郑', '太']",7,7,11,12
193,['one'],['一'],12,12,16,16
193,"['three', 'to', 'four', 'thousand']","['三', '四', '千']",2,5,0,2
193,['16'],['六'],20,20,11,11
197,"['the', '72nd', 'Regiment']","['七', '十', '二', '团']",3,5,2,5
198,"['a', 'day', 'and', 'a', 'night']","['一', '天', '一', '夜']",6,10,7,10
201,"['a', 'few', 'days']","['几', '天']",31,33,31,32
201,['Neiqiu'],"['内', '丘']",28,28,20,21
201,['Xingtai'],"['邢', '台']",26,26,17,18
201,['60'],['六'],19,19,22,22
202,['Japanese'],['日'],15,15,3,3
203,"['the', 'Eighth', 'Route', 'Army']",['军'],43,46,68,68
203,"['Yangquan', 'City']","['阳', '泉', '市']",3,4,0,2
203,"['15', 'to', '16', 'years']",['岁'],17,20,24,24
203,['Japanese'],['民'],1,1,5,5
204,['first'],['一'],2,2,1,1
204,"['the', 'Zhengtai', 'Railway']","['了', '正', '太', '铁', '路']",39,41,49,53
204,['Pinghai'],"['平', '汉']",29,29,28,29
204,['Zhengtai'],"['正', '太']",25,25,22,23
204,['Tongpu'],"['平', '汉']",27,27,28,29
204,['Jinfu'],"['平', '汉']",32,32,28,29
204,"['August', '20', 'to', 'September', '10', ',', '1940']","['九', '月', '十', '日', '，']",5,11,16,20
205,['second'],['二'],2,2,1,1
205,"['September', '22', 'to', 'early', 'October']","['月', '上', '旬']",5,9,13,15
206,['Japanese'],['日'],22,22,23,23
206,['third'],['三'],2,2,1,1
206,"['October', '6', 'to', 'December', '4']","['月', '四']",5,9,12,13
208,"['the', 'Hundred', 'Regiments', 'Offensive']","['的', '百', '团', '大', '战']",7,10,19,23
211,"['Eighth', 'Route', 'Army']","['八', '路', '军']",6,8,2,4
211,"['Xu', 'Xiaobing']","['徐', '肖', '冰']",11,12,9,11
211,"['Peng', 'Dehuai']","['彭', '德', '怀']",17,18,23,25
211,"['the', 'Hundred', 'Regiments', 'Offensive']","['在', '百', '团', '大', '战']",26,29,26,30
212,"['Mao', 'Zedong']","['毛', '泽', '东']",2,3,2,4
212,['Peng'],['彭'],22,22,20,20
214,['Japanese'],['日'],4,4,8,8
214,"['46,480']",['四'],3,3,12,12
215,"['the', 'Eighth', 'Route', 'Army']",['军'],1,4,2,2
215,"['the', 'Hundred', 'Regiments', 'Offensive']","['动', '百', '团', '大', '战']",6,9,4,8
215,"['North', 'China']",['北'],18,19,13,13
216,"['Taihong', 'Mountain']","['太', '行', '山']",12,13,21,23
216,"['Li', 'Jingtang']","['李', '景', '堂']",1,2,0,2
217,"['Chinese', 'Expeditionary', 'Force']","['中', '国', '远', '征', '军']",10,12,10,14
217,"['World', 'War', 'II']","['世', '界', '大']",1,3,3,5
217,"['two', 'hundred', 'thousand']","['二', '十', '万']",6,8,7,9
218,['Japanese'],['日'],32,32,26,26
218,['US'],['美'],19,19,10,10
218,['Britain'],['英'],22,22,12,12
218,['China'],['美'],16,16,10,10
218,"['60', 'years', 'ago']","['六', '十', '年', '前']",23,25,4,7
219,"['CCTV', 'International', 'Channel']","['中', '央', '电', '视', '台']",10,12,7,11
219,"['Across', 'the', 'Strait']",['岸'],6,8,20,20
221,['Taiwan'],['台'],5,5,2,2
221,"['March', '19']","['三', '幺', '九']",11,12,15,17
222,"['Hot', 'Topic', 'Analysis']","['详', '细', '地', '分', '析']",11,13,11,15
223,['Abramov'],"['阿', '布', '拉', '莫', '夫']",3,3,4,8
224,['Kadyrov'],"['卡', '特', '罗', '夫']",7,7,9,12
224,['First'],['副'],3,3,6,6
225,['Russian'],['俄'],47,47,62,62
225,['Iran'],['朗'],41,41,55,55
225,['Korean'],['鲜'],35,35,47,47
225,['Putin'],['京'],23,23,37,37
225,"['White', 'House']","['白', '宫']",17,18,25,26
225,['WTO'],"['组', '织']",51,51,71,72
225,['Bush'],['什'],21,21,34,34
226,"['Xu', 'Li']","['徐', '丽']",2,3,2,3
227,"['Wang', 'Shilin']","['王', '世', '林']",13,14,9,11
227,"['Focus', 'Today']",['今'],8,9,15,15
230,['Japanese'],['日'],6,6,29,29
230,['Asian'],['亚'],23,23,53,53
230,"['South', 'Korea']","['中', '韩']",29,30,50,51
230,['China'],['中'],27,27,50,50
230,['fifth'],['五'],16,16,39,39
230,"['Junichiro', 'Koizumi']","['小', '泉', '纯', '一', '郎']",9,10,33,37
230,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",12,13,43,46
230,['APEC'],"['会', '议']",3,3,23,24
231,['Japan'],['日'],5,5,27,27
231,['APEC'],"['日', '本']",11,11,27,28
233,"['the', 'Chinese', 'International', 'Channel']","['国', '际', '频']",9,12,6,8
233,"['Focus', 'Today']",['道'],6,7,9,9
234,"['Pusan', ',', 'South', 'Korea']","['釜', '山']",9,12,35,36
234,['APEC'],"['会', '议']",1,1,23,24
235,['US'],['美'],10,10,13,13
235,['Asian'],['亚'],23,23,31,31
235,['Japan'],['日'],12,12,6,6
236,['Asian'],['亚'],6,6,4,4
236,['fifth'],['五'],34,34,51,51
236,"['the', 'four', 'years']","['四', '年']",37,39,45,46
236,"['Junichiro', 'Koizumi']","['小', '泉']",22,23,24,25
236,"['Yasukuni', 'Shrine']","['国', '神', '社']",30,31,60,62
236,"['October', '17', 'this', 'year']",['年'],12,15,16,16
237,['Japan'],['日'],17,17,9,9
237,"['Jin', 'Xide']","['金', '熙', '德']",11,12,22,24
237,"['Liu', 'Jiangyong']","['刘', '江', '永']",7,8,16,18
238,['two'],['两'],2,2,2,2
239,['Pusan'],"['釜', '山']",9,9,20,21
239,"['this', 'afternoon']","['今', '天', '下', '午']",10,11,9,12
239,['Koizumi'],"['小', '泉']",6,6,15,16
240,"['South', 'Korean']","['韩', '国']",6,7,9,10
240,"['the', 'afternoon']","['在', '下', '午']",1,2,3,5
240,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",9,12,13,15
241,['two'],['人'],1,1,4,4
250,['two'],['两'],11,11,17,17
252,['Koizumi'],"['小', '泉']",2,2,2,3
256,"['South', 'Korean']",['韩'],9,10,11,11
257,['two'],['双'],7,7,3,3
258,['Japan'],['日'],20,20,10,10
258,"['South', 'Korea']",['韩'],17,18,7,7
258,"['this', 'year']","['今', '年']",4,5,12,13
258,['40th'],"['四', '十', '周', '年']",8,8,25,28
259,['fortieth'],['周'],1,1,4,4
263,['Japan'],['本'],23,23,31,31
263,"['the', 'end', 'of', 'this', 'year']",['年'],28,32,23,23
263,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉', '总', '统']",14,17,15,19
267,['Koizumi'],"['小', '泉']",5,5,6,7
267,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",10,13,10,12
268,"['Roh', 'Moo', '-', 'hyun']","['卢', '武', '铉']",29,32,31,33
269,['Liu'],['刘'],10,10,15,15
271,['Japan'],['日'],8,8,7,7
271,['Koizumi'],"['小', '泉']",13,13,13,14
278,"['South', 'Korean']",['韩'],13,14,17,17
280,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",10,11,15,18
290,"['the', 'United', 'States']",['国'],23,25,36,36
290,"['the', 'Cold', 'War']","['冷', '战']",16,18,19,20
290,['one'],['一'],29,29,41,41
294,['two'],['两'],4,4,3,3
298,['Asia'],['亚'],7,7,4,4
300,['Japan'],['日'],35,35,33,33
300,['US'],['美'],23,23,25,25
300,['Asian'],['洲'],15,15,11,11
301,['US'],['美'],6,6,6,6
301,['Japan'],['日'],2,2,1,1
301,['US'],['美'],22,22,17,17
306,['US'],['美'],16,16,27,27
306,['Japan'],['日'],20,20,37,37
306,['two'],['二'],5,5,13,13
306,['two'],['二'],9,9,15,15
307,['Japan'],['日'],13,13,7,7
309,['US'],['美'],11,11,14,14
309,['JDA'],"['防', '卫', '厅']",4,4,6,8
310,['Japan'],['日'],7,7,9,9
310,['US'],['美'],5,5,6,6
312,"['Cold', 'War']","['冷', '战']",27,28,39,40
312,['US'],['美'],13,13,22,22
312,['Koizumi'],"['小', '泉']",7,7,3,4
314,['Asian'],['亚'],29,29,41,41
314,['Japan'],['日'],5,5,7,7
314,['Western'],['西'],26,26,34,34
314,['three'],['三'],7,7,18,18
314,"['the', 'United', 'Nations']","['有', '联', '合', '国']",33,35,47,50
314,['1957'],['。'],4,4,22,22
318,['three'],['三'],2,2,1,1
321,['China'],['国'],31,31,48,48
321,['US'],['美'],23,23,33,33
321,['Asia'],['亚'],25,25,39,39
321,['America'],['美'],19,19,33,33
321,['Koizumi'],"['小', '泉']",6,6,7,8
323,['Koizumi'],"['小', '泉']",6,6,5,6
323,['US'],['美'],18,18,16,16
325,['US'],['美'],16,16,4,4
325,['US'],['美'],32,32,42,42
325,['Asian'],['洲'],27,27,26,26
328,['Asian'],['亚'],20,20,18,18
328,['China'],['中'],13,13,12,12
328,['Asia'],['亚'],40,40,46,46
328,['US'],['美'],1,1,0,0
328,['Japan'],['日'],7,7,6,6
328,"['South', 'Korea']","['中', '国', '，', '韩']",15,16,12,15
328,['US'],['美'],30,30,40,40
331,['Japan'],['日'],14,14,11,11
334,['Asia'],['亚'],14,14,22,22
334,['US'],['美'],8,8,12,12
339,['Koizumi'],"['小', '泉']",5,5,4,5
343,['Japan'],['日'],15,15,10,10
347,"['Sino', '-', 'Japanese']","['中', '日']",21,23,3,4
347,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",7,8,19,22
361,['Japan'],['日'],33,33,30,30
361,['Japan'],['日'],16,16,13,13
361,['Koizumi'],"['小', '泉']",3,3,2,3
361,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",5,6,6,9
369,['Koizumi'],"['小', '泉']",14,14,13,14
371,['Japan'],['日'],5,5,6,6
372,['Japan'],['日'],21,21,20,20
372,"['World', 'War', 'II']",['二'],51,53,43,43
382,['China'],['中'],30,30,42,42
382,"['South', 'Korea']","['中', '国', '，', '韩', '国']",32,33,42,46
382,"['Yasukuni', 'Shrine']","['靖', '国', '神', '社']",7,8,11,14
389,['two'],['两'],18,18,26,26
389,['Japan'],['日'],15,15,9,9
389,['US'],['美'],29,29,41,41
391,['Japanese'],['日'],7,7,11,11
391,"['Fusosha', 'Publishing', 'House']","['扶', '桑', '出', '版', '社']",29,31,32,36
391,"['April', '5']","['月', '五']",38,39,53,54
391,"['Ministry', 'of', 'Education']",['省'],8,10,15,15
391,"['April', '1', ',', '2005']","['四', '月', '一', '号', '，']",1,4,6,10
392,['Koizumi'],"['小', '泉']",23,23,17,18
392,['five'],['五'],29,29,47,47
