doc_id,event_id,ann_type,ss-id,source_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+7,event-5,agent,ss-1,their,افسران فدرال,شان,['شان'],15,15,69,72,"[13, 13]"
0b9b0856-80b9-594c-a74f-ee7c9f89cd1b+8,event-19,anchor,ss-35,blackmail,وادار,به زور,"['به', 'زور']",10,11,39,45,"[5, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+0,event-11,agent,ss-9,Tens of thousands,,ده ها هزار,"['ده', 'ها', 'هزار']",0,2,0,10,"[0, 2]"
0ba721fe-bdae-5569-927b-3721f533bbc0+0,event-15,anchor,ss-35,corruption,فساد در رومانی اعتراض می‌کنند .,فساد,['فساد'],5,5,18,22,"[5, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-12,agent,ss-9,Protesters,تظاهرات,,[],0,0,0,0,"[0, 0]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-12,anchor,ss-32,Protesters,تظاهرات,,[],0,0,0,0,"[0, 0]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-30,agent,ss-2,riot police,,پلیس ضد شورش,"['پلیس', 'ضد', 'شورش']",3,5,18,30,"[4, 5]"
0ba721fe-bdae-5569-927b-3721f533bbc0+3,event-10,agent,ss-3,thousands more,,هزاران نفر دیگر,"['هزاران', 'نفر', 'دیگر']",18,20,87,102,"[18, 19]"
1161595d-23a9-59f3-8aeb-ddab8ce19471+3,event-14,agent,ss-1,the virus,آنفولانزای,,[],0,0,0,0,"[6, 7]"
1161595d-23a9-59f3-8aeb-ddab8ce19471+3,event-14,patient,ss-3,"more than 1,200",,بیش از ۱۲۰۰,"['بیش', 'از', '۱۲۰۰']",20,22,101,112,"[17, 19]"
1161595d-23a9-59f3-8aeb-ddab8ce19471+6,event-27,patient,ss-13,full-back Karmichael Hunt,کارمیک هانت,,[],0,0,0,0,"[9, 11]"
1388473e-8170-50b9-8361-8aeb3c6e6523+2,event-16,patient,ss-5,churches,,کلیساها,['کلیساها'],34,34,150,157,"[33, 33]"
1388473e-8170-50b9-8361-8aeb3c6e6523+3,event-3,agent,ss-12,its,وزارت اروپا و امور خارجه فرانسه,,[],0,0,0,0,"[27, 27]"
1388473e-8170-50b9-8361-8aeb3c6e6523+5,event-7,anchor,ss-23,talked,توضیح,,[],0,0,0,0,"[18, 18]"
1388473e-8170-50b9-8361-8aeb3c6e6523+5,event-9,anchor,ss-25,notifications,اخاذی,,[],0,0,0,0,"[62, 62]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-10,agent,ss-12,it,وزارت امور خارجه فرانسه,,[],0,0,0,0,"[6, 6]"
1388473e-8170-50b9-8361-8aeb3c6e6523+6,event-34,patient,ss-2,religious minorities,,اقلیت های مذهبی,"['اقلیت', 'های', 'مذهبی']",44,46,214,229,"[52, 53]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+10,event-30,anchor,ss-52,bail,تعیین,,[],0,0,0,0,"[6, 6]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+3,event-2,patient,ss-1,The accused,,متهمان,['متهمان'],4,4,15,21,"[0, 1]"
19b657cc-a92e-5c35-936b-06c0a32c44e8+5,event-18,patient,ss-1,The six,,این شش نفر,"['این', 'شش', 'نفر']",0,2,0,10,"[0, 1]"
1c43e469-a33c-5d19-983b-e1a06868092d+1,event-23,patient,ss-1,at least 38,,حداقل ۳۸ نفر,"['حداقل', '۳۸', 'نفر']",21,23,105,117,"[23, 25]"
1c43e469-a33c-5d19-983b-e1a06868092d+10,event-34,patient,ss-19,16 others,,۱۶ نفر دیگر,"['۱۶', 'نفر', 'دیگر']",30,32,123,134,"[31, 32]"
1c43e469-a33c-5d19-983b-e1a06868092d+5,event-32,patient,ss-6,15,,۱۵ نفر,"['۱۵', 'نفر']",10,11,42,48,"[12, 12]"
1c43e469-a33c-5d19-983b-e1a06868092d+8,event-33,patient,ss-13,35,,۳۵ نفر,"['۳۵', 'نفر']",14,15,62,68,"[15, 15]"
1c43e469-a33c-5d19-983b-e1a06868092d+9,event-31,patient,ss-23,six,,شش نفر,"['شش', 'نفر']",30,31,141,147,"[30, 30]"
1c43e469-a33c-5d19-983b-e1a06868092d+9,event-35,patient,ss-21,more than 60,,بیش از ۶۰,"['بیش', 'از', '۶۰']",42,44,193,202,"[39, 41]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+0,event-17,anchor,ss-28,resumes,سر,از سر می گیرد,"['از', 'سر', 'می', 'گیرد']",9,12,45,58,"[2, 2]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+2,event-23,anchor,ss-34,ordered departure,خروج منظم,,[],0,0,0,0,"[12, 13]"
206ea1ce-50ed-56d9-ab4c-b4235a732af8+2,event-5,anchor,ss-16,said,آمده‌است,,[],0,0,0,0,"[45, 45]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+1,event-12,patient,ss-3,the country ’ s 120 doctors,پزشک کشور است که در طول شیوع بیماری فوت کرده‌است .,,[],0,0,0,0,"[6, 11]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+8,event-24,agent,ss-2,Willoughby,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+14,event-23,agent,ss-2,Willoughby,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-14,anchor,ss-29,die,دست,جان خود را از دست داده است,"['جان', 'خود', 'را', 'از', 'دست', 'داده', 'است']",13,19,63,89,"[14, 14]"
297c8019-b2d4-5b5a-b583-d1fab158e907+10,event-16,agent,ss-7,it,دولت مکزیک,,[],0,0,0,0,"[4, 4]"
297c8019-b2d4-5b5a-b583-d1fab158e907+7,event-2,agent,ss-6,Relatives,,اقوام,['اقوام'],0,0,0,5,"[0, 0]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+0,event-9,anchor,ss-23,corruption,فساد نتانیاهو شد .,فساد,['فساد'],7,7,38,42,"[6, 6]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+1,event-10,agent,ss-12,Israeli Prime Minister Benjamin Netanyahu,,بنجامین نتانیاهو نخست وزیر اسرائیل,"['بنجامین', 'نتانیاهو', 'نخست', 'وزیر', 'اسرائیل']",0,4,0,34,"[0, 4]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+6,event-35,patient,ss-8,those in his close proximity,,کسانی که در نزدیکی او بودند,"['کسانی', 'که', 'در', 'نزدیکی', 'او', 'بودند']",24,29,106,133,"[20, 24]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+8,event-2,anchor,ss-16,wrongfully accepting,دریافت,,[],0,0,0,0,"[9, 10]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+8,event-31,anchor,ss-45,regulatory favours,بخشش‌های قانونی,,[],0,0,0,0,"[30, 31]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+4,event-6,patient,ss-14,his,آقای عثمان,,[],0,0,0,0,"[15, 15]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+5,event-8,anchor,ss-24,articles,کمک,نشریات,['نشریات'],4,4,16,22,"[2, 2]"
2c730abd-af7f-5cb8-b3d2-c19d2b1eeb90+7,event-10,anchor,ss-26,mocking,مقالات,,[],0,0,0,0,"[8, 8]"
2d037849-5f69-5973-a022-8398433d5a82+3,event-14,agent,ss-1,They,,آن ها,"['آن', 'ها']",0,1,0,5,"[0, 0]"
2d037849-5f69-5973-a022-8398433d5a82+3,event-14,agent,ss-6,the university &apos;s vice-chancellor,,معاون رئیس دانشگاه,"['معاون', 'رئیس', 'دانشگاه']",5,7,18,36,"[2, 5]"
2d037849-5f69-5973-a022-8398433d5a82+5,event-2,agent,ss-7,the university,دانشگاه را تنها در صورتی ترک خواهند کرد که دانشگاه,دانشگاه,['دانشگاه'],14,14,63,70,"[8, 9]"
2dbcd20a-372d-5041-9649-c4e906509bbe+11,event-8,agent,ss-13,BBC Indonesia &apos;s Pinta Karana,پینتا کارنا از بی بی بی سی می گوید ( انگلیسی ) که پلیس ملی اندونزی,,[],0,0,0,0,"[22, 26]"
2dbcd20a-372d-5041-9649-c4e906509bbe+12,event-30,anchor,ss-44,hand over the case,پرونده را پس از یک اعتراض عمومی به کمیسیون ضد فساد تحویل,پرونده را تحویل دهد,"['پرونده', 'را', 'تحویل', 'دهد']",16,28,74,134,"[12, 15]"
2dbcd20a-372d-5041-9649-c4e906509bbe+2,event-1,patient,ss-1,Insp Gen Djoko Susilo,,ژنرال دوکو سولیو,"['ژنرال', 'دوکو', 'سولیو']",0,2,0,16,"[0, 3]"
2dbcd20a-372d-5041-9649-c4e906509bbe+2,event-1,anchor,ss-15,bribes,,دریافت,['دریافت'],5,5,26,32,"[16, 16]"
2dbcd20a-372d-5041-9649-c4e906509bbe+2,event-1,agent,ss-3,a firm,,یک شرکت,"['یک', 'شرکت']",17,18,73,80,"[18, 19]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+0,event-5,anchor,ss-24,claims,می‌رساند,,[],0,0,0,0,"[2, 2]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+0,event-5,patient,ss-2,25 lives,۲۵ نفر را در ایالت میناس گرایس برزیل به قتل,۲۵ نفر,"['۲۵', 'نفر']",2,3,7,13,"[3, 4]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+2,event-4,anchor,ss-23,cases,,نفر,['نفر'],17,17,68,71,"[15, 15]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+4,event-17,patient,ss-13,most,,اکثر,['اکثر'],7,7,37,41,"[10, 10]"
34e0aba8-cf8d-5af5-a376-226c9c08280f+6,event-16,patient,ss-9,botanical garden,باغ وحش,,[],0,0,0,0,"[15, 16]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+0,event-30,anchor,ss-53,Gets,محکوم شد,,[],0,0,0,0,"[4, 4]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+10,event-4,agent,ss-14,Sudan &apos;s umbrella protest movement,جنبش اعتراضی چتر سودان,,[],0,0,0,0,"[1, 5]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+12,event-14,patient,ss-19,he,,او,['او'],27,27,118,120,"[31, 31]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+4,event-28,patient,ss-5,6.9 million euros,۷ ٫ ۷ میلیون یورو,,[],0,0,0,0,"[14, 16]"
35c7a0d0-f2a1-5e25-9df2-3f0a382bba8a+7,event-15,patient,ss-12,2.5 million,,۲ ٫ ۵ میلیون نفر,"['۲', '٫', '۵', 'میلیون', 'نفر']",32,36,136,152,"[29, 30]"
36a4a758-690c-5862-88ba-d290aa108569+0,event-14,agent,ss-3,dead people,,مرده ها,"['مرده', 'ها']",10,11,51,58,"[6, 7]"
36a4a758-690c-5862-88ba-d290aa108569+7,event-16,anchor,ss-33,paid into,به حساب‌های بانکی نخست‌وزیر نجیب راسک پرداخت,پرداخت شد,"['پرداخت', 'شد']",35,36,169,178,"[28, 29]"
370dc6fd-6397-523b-8d75-393a5500d4a5+0,event-6,patient,ss-1,may,پرستار,شاید,['شاید'],0,0,0,4,"[1, 1]"
370dc6fd-6397-523b-8d75-393a5500d4a5+0,event-6,anchor,ss-16,days,مریض,چند روز,"['چند', 'روز']",1,2,5,12,"[5, 5]"
370dc6fd-6397-523b-8d75-393a5500d4a5+0,event-6,agent,ss-2,diagnosis,ابولا,تشخیص,['تشخیص'],5,5,20,25,"[8, 8]"
370dc6fd-6397-523b-8d75-393a5500d4a5+2,event-8,anchor,ss-18,exposed,معرض ابولا قرار,در معرض,"['در', 'معرض']",20,21,93,100,"[9, 9]"
370dc6fd-6397-523b-8d75-393a5500d4a5+3,event-9,patient,ss-4,Vinson &apos;s bridesmaids,عروس‌های وینسون,,[],0,0,0,0,"[4, 6]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+0,event-1,patient,ss-1,Six immigration officers,شش افسر مهاجر در کوچینگ به رشوه خواری محکوم شدند .,شش افسر مهاجر,"['شش', 'افسر', 'مهاجر']",0,2,0,13,"[0, 2]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+1,event-14,agent,ss-15,Kuching &apos;s Special Court for Corruption,دادگاه ویژه پاکستان,,[],0,0,0,0,"[6, 11]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+11,event-19,agent,ss-26,He,,او,['او'],0,0,0,2,"[0, 0]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+12,event-25,agent,ss-27,MACC,خود,,[],0,0,0,0,"[10, 10]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+4,event-16,patient,ss-2,The four remaining accused,,چهار متهم باقی مانده,"['چهار', 'متهم', 'باقی', 'مانده']",0,3,0,20,"[0, 3]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+5,event-5,agent,ss-4,someone,,آن ها,"['آن', 'ها']",30,31,135,140,"[32, 32]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+6,event-21,agent,ss-5,The Malaysian Anti-Corruption Commission ( MACC ) prosecution team,,کمیسیون مبارزه با فساد مالی مالزی ( MAC ),"['کمیسیون', 'مبارزه', 'با', 'فساد', 'مالی', 'مالزی', '(', 'MAC', ')']",0,8,0,41,"[0, 8]"
376bd536-b2b9-5b56-9558-0eafcd4e09e0+9,event-11,anchor,ss-41,pleaded,کردند,درخواست,['درخواست'],11,11,52,59,"[10, 10]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-32,patient,ss-7,the three,,این سه نفر,"['این', 'سه', 'نفر']",12,14,48,58,"[11, 12]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-33,anchor,ss-52,tactics,تاکتیک‌های,,[],0,0,0,0,"[30, 30]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+3,event-5,anchor,ss-24,showed,اعلام,,[],0,0,0,0,"[24, 24]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+7,event-26,anchor,ss-45,offenses,عناوین,جرم,['جرم'],8,8,34,37,"[14, 14]"
3a0d211a-4c05-583b-8acd-2180d21e672e+1,event-1,patient,ss-15,President Hosni Mubarak,حسنی مبارک برای کناره‌گیری رئیس‌جمهور,,[],0,0,0,0,"[31, 33]"
3a0d211a-4c05-583b-8acd-2180d21e672e+15,event-27,patient,ss-15,Mubarak,آپارتاید,,[],0,0,0,0,"[1, 1]"
3a0d211a-4c05-583b-8acd-2180d21e672e+5,event-6,anchor,ss-39,said,ایمیل,,[],0,0,0,0,"[22, 22]"
3a0d211a-4c05-583b-8acd-2180d21e672e+6,event-4,patient,ss-15,Mubarak,,مبارک,['مبارک'],23,23,107,112,"[22, 22]"
3a0d211a-4c05-583b-8acd-2180d21e672e+6,event-7,agent,ss-22,Courtney Radsch,کلیر رادش,,[],0,0,0,0,"[27, 28]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+0,event-12,agent,ss-3,a pro-democracy movement,,جنبش طرفدار دموکراسی,"['جنبش', 'طرفدار', 'دموکراسی']",8,10,36,56,"[9, 11]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+12,event-33,patient,ss-16,Navalny,نیروی دریایی,,[],0,0,0,0,"[0, 0]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+3,event-1,anchor,ss-18,leave politics,انتخابات,,[],0,0,0,0,"[31, 32]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+5,event-7,anchor,ss-24,comment,چیزی بگوید,,[],0,0,0,0,"[8, 8]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+8,event-22,patient,ss-9,the foundation &apos;s Russian and British arms,سلاح‌های روسی و انگلیسی,,[],0,0,0,0,"[22, 28]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+1,event-29,patient,ss-1,the eventual winner,,برنده نهایی,"['برنده', 'نهایی']",14,15,63,74,"[19, 21]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+10,event-27,patient,ss-20,the West Bank city of Hebron,شهر کرانه باختری رود اردن,,[],0,0,0,0,"[5, 10]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+4,event-33,agent,ss-8,she,,او,['او'],10,10,37,39,"[7, 7]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+9,event-13,agent,ss-18,Binyamin ( Bibi ) Netanyahu,,بنیامین نتانیاهو,"['بنیامین', 'نتانیاهو']",0,1,0,16,"[0, 4]"
44cdb100-1394-5921-8a1e-94c61161cbd4+0,event-16,anchor,ss-32,embezzling,سرقت پول ابولا محکوم شد .,سرقت,['سرقت'],7,7,42,46,"[7, 7]"
44cdb100-1394-5921-8a1e-94c61161cbd4+1,event-17,agent,ss-12,his,,او,['او'],11,11,58,60,"[11, 11]"
4cda4fb8-11e4-5305-8d05-5791878911ab+2,event-1,agent,ss-9,a political cartoonist,,کارتونیست سیاسی,"['کارتونیست', 'سیاسی']",3,4,12,27,"[5, 7]"
4dac2187-d4c1-5375-b564-daa0cca80192+10,event-17,patient,ss-3,Mr Motallebi,آقای مصطفی‌بی,,[],0,0,0,0,"[12, 13]"
4dac2187-d4c1-5375-b564-daa0cca80192+11,event-7,anchor,ss-29,passed information,,اطلاعاتی ارائه کرده است,"['اطلاعاتی', 'ارائه', 'کرده', 'است']",8,29,39,156,"[9, 10]"
4dac2187-d4c1-5375-b564-daa0cca80192+11,event-7,patient,ss-17,high profile bloggers,,بلاگرهای برجسته,"['بلاگرهای', 'برجسته']",14,15,70,85,"[15, 17]"
4dac2187-d4c1-5375-b564-daa0cca80192+2,event-12,patient,ss-3,Iranian Sina Motallebi,,سینا موتالبی ایرانی,"['سینا', 'موتالبی', 'ایرانی']",0,2,0,19,"[0, 2]"
4dac2187-d4c1-5375-b564-daa0cca80192+6,event-1,agent,ss-10,young people,,جوانان,['جوانان'],9,9,45,51,"[7, 8]"
5178f231-5917-5d09-a9e5-d304c2c120c7+4,event-7,agent,ss-6,she,که,او,['او'],10,10,49,51,"[2, 2]"
529e5ee4-54cf-5060-8500-eaef95aa21c7+5,event-25,anchor,ss-40,demolition,بازسازی,تخریب,['تخریب'],27,27,110,115,"[28, 28]"
529e5ee4-54cf-5060-8500-eaef95aa21c7+5,event-26,anchor,ss-41,reconstruction,تخریب,بازسازی,['بازسازی'],25,25,100,107,"[30, 30]"
529e5ee4-54cf-5060-8500-eaef95aa21c7+7,event-17,patient,ss-5,"some 108,000 officials",,حدود ۱۰۸ ٬ ۰۰۰ مقام رسمی,"['حدود', '۱۰۸', '٬', '۰۰۰', 'مقام', 'رسمی']",14,19,58,82,"[5, 7]"
532cdbf5-856b-5151-b9d9-e50f52271ed4+4,event-16,agent,ss-16,its,اخوان المسلمین,,[],0,0,0,0,"[11, 11]"
532cdbf5-856b-5151-b9d9-e50f52271ed4+5,event-29,anchor,ss-50,took the lives,جان بیش از ۱۵۰ ٬ ۰۰۰ نفر را گرفت,جان گرفت,"['جان', 'گرفت']",64,72,293,325,"[58, 60]"
532cdbf5-856b-5151-b9d9-e50f52271ed4+8,event-36,patient,ss-14,"more than 2,000",,بیش از ۲۰۰۰ نفر,"['بیش', 'از', '۲۰۰۰', 'نفر']",20,23,92,107,"[22, 24]"
5541ebba-e256-5ca1-ad39-91a97435aed7+0,event-1,agent,ss-3,The Burkinabe,بلغارستان,,[],0,0,0,0,"[0, 1]"
556438bf-a81f-51f9-914d-eb787524f964+5,event-12,agent,ss-13,Indignados,توهین,,[],0,0,0,0,"[7, 7]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+5,event-14,patient,ss-10,He,,او,['او'],0,0,0,2,"[0, 0]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+5,event-14,anchor,ss-24,sentence,,محکوم شد,"['محکوم', 'شد']",30,31,112,120,"[6, 6]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+7,event-21,agent,ss-4,police,,پلیس,['پلیس'],17,17,73,77,"[25, 25]"
5649f206-1cbc-513c-b4f5-4691ef254e0b+8,event-3,agent,ss-10,Mr Navalny,آقای نیروی دریایی,,[],0,0,0,0,"[0, 1]"
58a2364d-4fc5-5c5f-9544-bceb5ff86ad6+1,event-8,anchor,ss-25,attacked,توطئه,,[],0,0,0,0,"[12, 12]"
58a2364d-4fc5-5c5f-9544-bceb5ff86ad6+1,event-8,agent,ss-12,Al-Shabaab militants,شبه نظامیان القاعده,,[],0,0,0,0,"[19, 20]"
58a2364d-4fc5-5c5f-9544-bceb5ff86ad6+1,event-2,anchor,ss-19,told,اعلام کردند,,[],0,0,0,0,"[26, 26]"
58a2364d-4fc5-5c5f-9544-bceb5ff86ad6+7,event-14,patient,ss-16,Hotel Weheliye,هتل,,[],0,0,0,0,"[3, 4]"
58b9441d-0260-598f-bd1b-c9c91c8c83d6+2,event-30,anchor,ss-60,set up,راه,راه اندازی کرد,"['راه', 'اندازی', 'کرد']",15,17,73,87,"[4, 5]"
58b9441d-0260-598f-bd1b-c9c91c8c83d6+6,event-27,anchor,ss-57,break into,وارد فروشگاه زارا در خیابان آکسفورد شوند,وارد,['وارد'],10,10,40,44,"[5, 6]"
597a893d-1812-5124-b15c-45868b553f76+15,event-46,anchor,ss-115,outbreak,شیوع این بیماری,شیوع,['شیوع'],11,11,64,68,"[11, 11]"
597a893d-1812-5124-b15c-45868b553f76+16,event-78,agent,ss-52,U.N.,ملل,سازمان ملل متحد,"['سازمان', 'ملل', 'متحد']",1,3,5,20,"[2, 2]"
597a893d-1812-5124-b15c-45868b553f76+20,event-43,anchor,ss-112,overtaken,,خواهند مرد,"['خواهند', 'مرد']",32,33,157,167,"[32, 32]"
597a893d-1812-5124-b15c-45868b553f76+26,event-85,anchor,ss-154,threw rocks,کرده‌اند,,[],0,0,0,0,"[30, 31]"
597a893d-1812-5124-b15c-45868b553f76+27,event-86,agent,ss-37,Others,,بعضی ها,"['بعضی', 'ها']",0,1,0,7,"[0, 0]"
671ce466-dc1b-5d38-ab64-b046caea1bfe+6,event-20,patient,ss-8,The latest victim,یکی از سخنگویان به نام کلی یاکوبک ، آخرین قربانی,آخرین قربانی,"['آخرین', 'قربانی']",8,9,36,48,"[0, 2]"
671ce466-dc1b-5d38-ab64-b046caea1bfe+6,event-7,agent,ss-22,spokeswoman Kelly Jakubek,,یکی از سخنگویان به نام کلی یاکوبک,"['یکی', 'از', 'سخنگویان', 'به', 'نام', 'کلی', 'یاکوبک']",0,6,0,33,"[25, 27]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+11,event-11,agent,ss-12,The judge,,او,['او'],0,0,0,2,"[0, 1]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+11,event-27,anchor,ss-41,corrupted,قتل,,[],0,0,0,0,"[7, 7]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+3,event-2,patient,ss-10,it,حساب‌هایش,,[],0,0,0,0,"[7, 7]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+6,event-35,patient,ss-13,His one-time finance director Dennis Lomas,,مدیر مالی سابق او ، دنیس لوئیس,"['مدیر', 'مالی', 'سابق', 'او', '،', 'دنیس', 'لوئیس']",0,6,0,30,"[0, 5]"
6aaa4574-3af7-5328-9df9-12bc0c99d8c1+9,event-24,anchor,ss-38,dishonesty,خیانت,عدم صداقت,"['عدم', 'صداقت']",12,13,53,62,"[33, 33]"
73235880-7f21-5967-ac6e-3dd58b843d26+0,event-3,patient,ss-1,Three,,سه نفر,"['سه', 'نفر']",0,1,0,6,"[0, 0]"
73235880-7f21-5967-ac6e-3dd58b843d26+4,event-15,patient,ss-5,more than 800,,بیش از ۸۰۰,"['بیش', 'از', '۸۰۰']",11,13,42,52,"[9, 11]"
73c62a2a-12ae-50ed-bb4a-354e1cd6cafa+0,event-37,anchor,ss-62,fires,شلیک می‌کند,,[],0,0,0,0,"[3, 3]"
782d694c-9d7d-54ed-b269-b5fb52e74d18+16,event-11,agent,ss-3,a group of young people,,گروهی از جوانان,"['گروهی', 'از', 'جوانان']",6,8,21,36,"[7, 11]"
782d694c-9d7d-54ed-b269-b5fb52e74d18+9,event-10,anchor,ss-25,rallied,گرد,,[],0,0,0,0,"[7, 7]"
7b4cfd1f-9f1f-5904-bf93-20b3deec2ef8+0,event-11,patient,ss-1,preschools,مهد,مهد کودک ها,"['مهد', 'کودک', 'ها']",4,6,22,33,"[3, 3]"
