doc_id,event_id,ann_type,ss-id,source_sent,target_sent,source_span,unsupervised_span,silver_span,sup_span,sup_span_tok,sup_span_start_tok,sup_span_end_tok,sup_span_start,sup_span_end,src_token_start_end
02cacfd9-7d50-59ac-beb6-d9750e03a574+7,event-34,agent,ss-18,"He was reported by AFP as saying : &quot; No-one is voting , neither Abkhaz or Georgians .",او توسط خبرگزاری ان بی سی گزارش شده است : « هیچ کس نه آبخاز و نه گرجی رای نمی دهد .,neither Abkhaz or Georgians,نه آبخاز,نه آبخاز و نه گرجی,نه آبخاز و نه گرجی,"['نه', 'آبخاز', 'و', 'نه', 'گرجی']",13,17,51,69,"[13, 16]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+11,event-27,anchor,ss-65,Militants have killed hundreds of policemen and soldiers since the overthrow of Morsy in July 2013 .,شورشیان از زمان سرنگونی مرسی در ژوئیه ۲۰۱۳ صدها پلیس و سرباز را کشته اند .,killed,کشته,کشته‌اند,کشته اند,"['کشته', 'اند']",13,14,64,72,"[2, 2]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+14,event-28,anchor,ss-66,All 224 people aboard died .,همه ۲۲۴ نفر در کشتی کشته شدند .,died,کشته,کشته شدند,کشته شدند,"['کشته', 'شدند']",5,6,20,29,"[4, 4]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+3,event-26,agent,ss-10,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,A second bomb,بمب,بمب دوم,بمب دوم,"['بمب', 'دوم']",0,1,0,7,"[0, 2]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+3,event-31,agent,ss-10,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,A second bomb,بمب,بمب دوم,بمب دوم,"['بمب', 'دوم']",0,1,0,7,"[0, 2]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+3,event-26,patient,ss-5,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,one civilian motorist,یک راننده,یک راننده غیرنظامی,یک راننده غیرنظامی,"['یک', 'راننده', 'غیرنظامی']",5,7,21,39,"[7, 9]"
08f75902-bd4e-5b68-95be-9eb14ee3c6f1+3,event-31,patient,ss-11,A second bomb in Kafr El-Sheikh killed one civilian motorist and wounded three police officers .,بمب دوم در کفر الشیخ یک راننده غیرنظامی را کشت و سه افسر پلیس را زخمی کرد .,three police officers,سه افسر,سه افسر پلیس,سه افسر پلیس,"['سه', 'افسر', 'پلیس']",11,13,49,61,"[12, 14]"
0ba721fe-bdae-5569-927b-3721f533bbc0+8,event-24,anchor,ss-44,"Diana Gradinaru , a 45-year-old economist , said the new legislation could result in “ terrible thefts ” by high-level officials , citing legislation that meant video and audio recordings could no longer be used as evidence in prosecutions .",دیانا گرونینارو ، یک اقتصاددان ۴۵ ساله ، گفت که قانون جدید می تواند منجر به « سرقت های وحشتناک » توسط مقامات عالی رتبه شود ، با استناد به قانون که به این معنی است که ویدئو و ضبط های صوتی دیگر نمی تواند به عنوان مدرک در پیگرد قانونی استفاده شود .,thefts,سرقت,سرقت‌های,سرقت های,"['سرقت', 'های']",17,18,78,86,"[16, 16]"
0ba721fe-bdae-5569-927b-3721f533bbc0+8,event-7,anchor,ss-27,"Diana Gradinaru , a 45-year-old economist , said the new legislation could result in “ terrible thefts ” by high-level officials , citing legislation that meant video and audio recordings could no longer be used as evidence in prosecutions .",دیانا گرونینارو ، یک اقتصاددان ۴۵ ساله ، گفت که قانون جدید می تواند منجر به « سرقت های وحشتناک » توسط مقامات عالی رتبه شود ، با استناد به قانون که به این معنی است که ویدئو و ضبط های صوتی دیگر نمی تواند به عنوان مدرک در پیگرد قانونی استفاده شود .,audio recordings,صوتی,ضبط‌های صوتی,ضبط های صوتی,"['ضبط', 'های', 'صوتی']",39,41,174,186,"[28, 29]"
0ba721fe-bdae-5569-927b-3721f533bbc0+8,event-18,anchor,ss-38,"Diana Gradinaru , a 45-year-old economist , said the new legislation could result in “ terrible thefts ” by high-level officials , citing legislation that meant video and audio recordings could no longer be used as evidence in prosecutions .",دیانا گرونینارو ، یک اقتصاددان ۴۵ ساله ، گفت که قانون جدید می تواند منجر به « سرقت های وحشتناک » توسط مقامات عالی رتبه شود ، با استناد به قانون که به این معنی است که ویدئو و ضبط های صوتی دیگر نمی تواند به عنوان مدرک در پیگرد قانونی استفاده شود .,used as evidence,عنوان مدرک,عنوان مدرک در پیگرد قانونی استفاده,به عنوان مدرک استفاده شود,"['به', 'عنوان', 'مدرک', 'استفاده', 'شود']",45,52,202,243,"[34, 36]"
1c43e469-a33c-5d19-983b-e1a06868092d+0,event-14,anchor,ss-50,"Wave of Bombings , Shootings Leave 38 Dead in Iraq",موج بمب گذاری ها ، تیراندازی ها ۳۸ کشته در عراق باقی گذاشت .,Bombings,بمب گذاری ها,بمب‌گذاری‌ها,بمب گذاری ها,"['بمب', 'گذاری', 'ها']",1,3,4,16,"[2, 2]"
1c43e469-a33c-5d19-983b-e1a06868092d+0,event-7,anchor,ss-43,"Wave of Bombings , Shootings Leave 38 Dead in Iraq",موج بمب گذاری ها ، تیراندازی ها ۳۸ کشته در عراق باقی گذاشت .,Shootings,تیراندازی ها,تیراندازی‌ها,تیراندازی ها,"['تیراندازی', 'ها']",5,6,19,31,"[4, 4]"
1c43e469-a33c-5d19-983b-e1a06868092d+4,event-1,agent,ss-28,"Sunday &apos;s explosions struck shortly before the evening iftar meal that ends the daylong fast during Ramadan , AP reported on Monday .",انفجارهای یکشنبه کمی قبل از غذای شب عید که روزه طولانی مدت روزه در ماه رمضان را به پایان می رساند رخ داد .,AP,می,,,[],0,0,0,0,"[18, 18]"
1c43e469-a33c-5d19-983b-e1a06868092d+4,event-1,anchor,ss-37,"Sunday &apos;s explosions struck shortly before the evening iftar meal that ends the daylong fast during Ramadan , AP reported on Monday .",انفجارهای یکشنبه کمی قبل از غذای شب عید که روزه طولانی مدت روزه در ماه رمضان را به پایان می رساند رخ داد .,reported,می,,,[],0,0,0,0,"[19, 19]"
1c43e469-a33c-5d19-983b-e1a06868092d+7,event-18,patient,ss-10,"Another car bomb exploded among shops and take-away restaurants in central Kut , 160 kilometers ( 100 miles ) southeast of Baghdad .",بمب دیگری در میان مغازه ها و رستوران های سیار در مرکز کوت ، در ۱۶۰ کیلومتری ( ۱۰۰ مایلی ) جنوب شرقی بغداد منفجر شد .,shops,مغازه,مغازه‌ها,مغازه ها,"['مغازه', 'ها']",4,5,18,26,"[5, 5]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-14,patient,ss-2,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,Dr Victor Willoughby,دکتر ویکتور ویل وبی,دکتر ویکتور ویل,دکتر ویکتور ویل وبی,"['دکتر', 'ویکتور', 'ویل', 'وبی']",0,3,0,19,"[0, 2]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-14,anchor,ss-29,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,die,جان,دست,جان خود را از دست داده است,"['جان', 'خود', 'را', 'از', 'دست', 'داده', 'است']",13,19,63,89,"[14, 14]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-14,agent,ss-1,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,the virus,این ویروس,این ویروس,این ویروس,"['این', 'ویروس']",11,12,53,62,"[16, 17]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-15,agent,ss-1,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,the virus,این ویروس,,این ویروس,"['این', 'ویروس']",11,12,53,62,"[16, 17]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-22,agent,ss-1,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,the virus,این ویروس,,این ویروس,"['این', 'ویروس']",11,12,53,62,"[16, 17]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-22,anchor,ss-37,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,outbreak,ویروس,,,[],0,0,0,0,"[21, 21]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-15,anchor,ss-30,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,killed,جان,,,[],0,0,0,0,"[24, 24]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+3,event-15,patient,ss-4,"Dr Victor Willoughby is the 11th of the country ’ s 120 doctors to die from the virus , during an outbreak that has killed almost 7,000 people .",دکتر ویکتور ویل وبی یازدهمین پزشک کشور است که بر اثر این ویروس جان خود را از دست داده است .,"almost 7,000 people",این ویروس جان,,,[],0,0,0,0,"[25, 27]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+8,event-24,agent,ss-2,"The arrival of ZMAb , developed in Canada , had raised hopes for Willoughby ’ s survival .",ورود ZMAb ، که در کانادا توسعه یافته بود ، امید را برای زنده ماندن ولینگتون افزایش داد .,Willoughby,.,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+8,event-24,patient,ss-2,"The arrival of ZMAb , developed in Canada , had raised hopes for Willoughby ’ s survival .",ورود ZMAb ، که در کانادا توسعه یافته بود ، امید را برای زنده ماندن ولینگتون افزایش داد .,Willoughby,.,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+14,event-23,agent,ss-2,"The arrival of ZMAb , developed in Canada , had raised hopes for Willoughby ’ s survival .",ورود ZMAb ، که در کانادا توسعه یافته بود ، امید را برای زنده ماندن ولینگتون افزایش داد .,Willoughby,.,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+14,event-23,patient,ss-2,"The arrival of ZMAb , developed in Canada , had raised hopes for Willoughby ’ s survival .",ورود ZMAb ، که در کانادا توسعه یافته بود ، امید را برای زنده ماندن ولینگتون افزایش داد .,Willoughby,.,ولینگتون,,[],0,0,0,0,"[13, 13]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+8,event-24,anchor,ss-39,"The arrival of ZMAb , developed in Canada , had raised hopes for Willoughby ’ s survival .",ورود ZMAb ، که در کانادا توسعه یافته بود ، امید را برای زنده ماندن ولینگتون افزایش داد .,survival,ماندن,زنده,زنده ماندن,"['زنده', 'ماندن']",13,14,56,66,"[16, 16]"
27564eb5-9d70-5cfe-85be-d060b3f8acab+14,event-23,anchor,ss-38,"The arrival of ZMAb , developed in Canada , had raised hopes for Willoughby ’ s survival .",ورود ZMAb ، که در کانادا توسعه یافته بود ، امید را برای زنده ماندن ولینگتون افزایش داد .,survival,ماندن,زنده,زنده ماندن,"['زنده', 'ماندن']",13,14,56,66,"[16, 16]"
2ab255c8-c8b4-52d0-82fe-4151fa7e74f8+7,event-33,anchor,ss-47,"Netanyahu , who heads the right-wing Likud party , is fighting for his political life after an inconclusive election on March 2 , following ballots in April and September that also ended without a clear victor .",نتانیاهو که رهبر حزب راست گرا بود ، پس از یک انتخابات بدون نتیجه در ۲ مارس و سپتامبر که بدون پیروزی قطعی به پایان رسید ، برای زندگی سیاسی خود مبارزه می کند .,ballots,انتخابات,,,[],0,0,0,0,"[24, 24]"
36a4a758-690c-5862-88ba-d290aa108569+8,event-21,anchor,ss-38,Officials have said the money came instead from an unnamed Arab donor .,مقامات اعلام کرده اند که این پول از یک کمک کننده ناشناس عرب تأمین شده است .,donor,کننده,کمک‌کننده,کمک کننده,"['کمک', 'کننده']",9,10,39,48,"[11, 11]"
370dc6fd-6397-523b-8d75-393a5500d4a5+2,event-8,patient,ss-3,"If accurate , many more passengers could have been exposed to Ebola during her flight home to Cleveland from Dallas on Friday .",اگر دقیق باشد ، ممکن است تعداد بیشتری از مسافران در روز جمعه هنگام پرواز او از دالاس به خانه در معرض ابولا قرار گرفته باشند .,many more passengers,تعداد بیشتری از مسافران,بیشتری از مسافران,تعداد بیشتری از مسافران,"['تعداد', 'بیشتری', 'از', 'مسافران']",6,9,25,48,"[3, 5]"
370dc6fd-6397-523b-8d75-393a5500d4a5+2,event-8,anchor,ss-18,"If accurate , many more passengers could have been exposed to Ebola during her flight home to Cleveland from Dallas on Friday .",اگر دقیق باشد ، ممکن است تعداد بیشتری از مسافران در روز جمعه هنگام پرواز او از دالاس به خانه در معرض ابولا قرار گرفته باشند .,exposed,معرض,معرض ابولا قرار,در معرض,"['در', 'معرض']",20,21,93,100,"[9, 9]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-3,agent,ss-6,"Rights groups believe that foul play was behind the deaths of the three , and have demanded an investigation into this case and other allegations of police corruption and heavy-handed tactics .",گروه های حقوق بشری بر این باور اند که در پس مرگ این سه نفر ، خطا بوده و خواستار تحقیق در این مورد و سایر اتهامات فساد پلیس و تاکتیک های سنگین شده اند .,Rights groups,حقوق,گروه‌های حقوق,گروه های حقوق بشری,"['گروه', 'های', 'حقوق', 'بشری']",0,3,0,18,"[0, 1]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-32,patient,ss-7,"Rights groups believe that foul play was behind the deaths of the three , and have demanded an investigation into this case and other allegations of police corruption and heavy-handed tactics .",گروه های حقوق بشری بر این باور اند که در پس مرگ این سه نفر ، خطا بوده و خواستار تحقیق در این مورد و سایر اتهامات فساد پلیس و تاکتیک های سنگین شده اند .,the three,این سه,,این سه نفر,"['این', 'سه', 'نفر']",12,14,48,58,"[11, 12]"
3981eac4-b8f5-534e-8b5a-ac150dfc29cb+2,event-33,anchor,ss-52,"Rights groups believe that foul play was behind the deaths of the three , and have demanded an investigation into this case and other allegations of police corruption and heavy-handed tactics .",گروه های حقوق بشری بر این باور اند که در پس مرگ این سه نفر ، خطا بوده و خواستار تحقیق در این مورد و سایر اتهامات فساد پلیس و تاکتیک های سنگین شده اند .,tactics,تاکتیک,تاکتیک‌های,,[],0,0,0,0,"[30, 30]"
3a0d211a-4c05-583b-8acd-2180d21e672e+0,event-14,agent,ss-1,Protesters around the world march against Egypt &apos;s Mubarak,تظاهرات کنندگان در سراسر جهان علیه مبارک مصری ها تظاهرات کردند .,Protesters,کنندگان,تظاهرات‌کنندگان,تظاهرات کنندگان,"['تظاهرات', 'کنندگان']",0,1,0,15,"[0, 0]"
3a0d211a-4c05-583b-8acd-2180d21e672e+0,event-14,anchor,ss-47,Protesters around the world march against Egypt &apos;s Mubarak,تظاهرات کنندگان در سراسر جهان علیه مبارک مصری ها تظاهرات کردند .,march,تظاهرات,کردند,تظاهرات کردند,"['تظاهرات', 'کردند']",9,10,49,62,"[4, 4]"
3a0d211a-4c05-583b-8acd-2180d21e672e+0,event-14,patient,ss-15,Protesters around the world march against Egypt &apos;s Mubarak,تظاهرات کنندگان در سراسر جهان علیه مبارک مصری ها تظاهرات کردند .,Egypt &apos;s Mubarak,مبارک,مبارک مصری‌ها,مبارک مصری ها,"['مبارک', 'مصری', 'ها']",6,8,35,48,"[6, 8]"
3a0d211a-4c05-583b-8acd-2180d21e672e+12,event-12,patient,ss-27,"&quot; We are witnessing a great change in history , &quot; he told CTV .",او به شبکه سی تی وی گفت : « ما شاهد تغییر بزرگی در تاریخ هستیم .,CTV,سی تی وی,سی‌تی‌وی,سی تی وی,"['سی', 'تی', 'وی']",3,5,11,19,"[13, 13]"
3a0d211a-4c05-583b-8acd-2180d21e672e+2,event-17,anchor,ss-50,"Outside the Egyptian Embassy in London , people rallied , chanted , hoisted banners and demanded change .",در بیرون سفارت مصر در لندن ، مردم تجمع کردند ، شعارها را برافراشتند و خواستار تغییر شدند .,rallied,تجمع,تجمع کردند,تجمع کردند,"['تجمع', 'کردند']",8,9,34,44,"[8, 8]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+1,event-11,anchor,ss-28,Photographs posted on social media showed riot police outside the Moscow offices of the Open Russia Foundation .,عکس هایی که در شبکه های اجتماعی منتشر شده است ، پلیس ضد شورش را بیرون دفتر مرکزی بنیاد روسیه آزاد نشان می دهد .,Photographs,عکس,عکس‌هایی,عکس هایی,"['عکس', 'هایی']",0,1,0,8,"[0, 0]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+12,event-33,patient,ss-16,Navalny suffered a similar attack last month .,ماه گذشته نیروی دریایی دچار حمله ای مشابه شد .,Navalny,نیروی,نیروی دریایی,,[],0,0,0,0,"[0, 0]"
3a402e86-bff8-5ad0-baff-3b497f37e4e0+12,event-33,anchor,ss-50,Navalny suffered a similar attack last month .,ماه گذشته نیروی دریایی دچار حمله ای مشابه شد .,attack,حمله,حمله‌ای,حمله ای,"['حمله', 'ای']",5,6,28,35,"[4, 4]"
3be03287-27f5-5420-880f-cda2d6870f0f+5,event-2,anchor,ss-20,"No group has yet claimed responsibility for the kidnap , although it is feared it may be the work of an al-Qaida linked guerrilla group , Abu Sayyaf , which has been fighting the Philippines army since the 1990s .",هنوز هیچ گروهی مسئولیت این آدم ربایی را بر عهده نگرفته است ، اگر چه ممکن است که این کار توسط یک گروه چریکی مرتبط با القاعده ، ابو سیف ، که از دهه ۱۹۹۰ با ارتش فیلیپین مبارزه می کند ، انجام شده باشد .,claimed,را,عهده,بر عهده,"['بر', 'عهده']",8,9,40,47,"[4, 4]"
3be03287-27f5-5420-880f-cda2d6870f0f+5,event-13,anchor,ss-31,"No group has yet claimed responsibility for the kidnap , although it is feared it may be the work of an al-Qaida linked guerrilla group , Abu Sayyaf , which has been fighting the Philippines army since the 1990s .",هنوز هیچ گروهی مسئولیت این آدم ربایی را بر عهده نگرفته است ، اگر چه ممکن است که این کار توسط یک گروه چریکی مرتبط با القاعده ، ابو سیف ، که از دهه ۱۹۹۰ با ارتش فیلیپین مبارزه می کند ، انجام شده باشد .,kidnap,ربایی,آدم‌ربایی,آدم ربایی,"['آدم', 'ربایی']",5,6,27,36,"[8, 8]"
3be03287-27f5-5420-880f-cda2d6870f0f+5,event-18,patient,ss-3,"No group has yet claimed responsibility for the kidnap , although it is feared it may be the work of an al-Qaida linked guerrilla group , Abu Sayyaf , which has been fighting the Philippines army since the 1990s .",هنوز هیچ گروهی مسئولیت این آدم ربایی را بر عهده نگرفته است ، اگر چه ممکن است که این کار توسط یک گروه چریکی مرتبط با القاعده ، ابو سیف ، که از دهه ۱۹۹۰ با ارتش فیلیپین مبارزه می کند ، انجام شده باشد .,the Philippines army,ارتش,ارتش فیلیپین,ارتش فیلیپین,"['ارتش', 'فیلیپین']",36,37,154,166,"[33, 35]"
3f4ec449-6dd1-505e-8c72-c8a4f8810c5d+9,event-13,agent,ss-18,"Binyamin ( Bibi ) Netanyahu , leader of the hawkish Likud party and former prime minister , would most likely win a general election , with polls for several months highlighting his popularity . As PM , he negotiated the Wye River Accords in 1998 with Yasser Arafat , but there was no progress in the peace talks .",بنیامین نتانیاهو ، رهبر حزب لیکود و نخست وزیر سابق ، به احتمال زیاد در یک انتخابات عمومی برنده خواهد شد و نظرسنجی ها برای ماه ها محبوبیت او را برجسته کردند .,Binyamin ( Bibi ) Netanyahu,بنیامین نتانیاهو,,بنیامین نتانیاهو,"['بنیامین', 'نتانیاهو']",0,1,0,16,"[0, 4]"
